stage,endocrine_pancreas,glial,immune,neural,periderm,presomitic_mesoderm
 14-21,0,0,0,0,0,1.92
 24-34,0,0,0,1.98,0,0
 36-46,0,0,0,0,1.81,0
 48-58,0,0,0,0.79,0,0
 60-70,0,0.97,0,0,0,0
 72-82,0,0,0.6,0,0,0
 84-94,0,2.97,0.55,0,1.86,0
 96-106,2.08,0,0,0,0,0
120,0,0,4.22,0,10.17,0
