stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,38.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.81,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,7.01,0,0,0,0,0.82,0,0,3.29,0,0,0,0,0
 24-34,0,0,1.67,0.96,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68,0,0,1.05,16.62,0,0,0,2.45,0,0,0,2.99,4.32,0,4.14,0,0
 36-46,0,0,0.69,9.45,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,9.33,1.35,0,0,4.5,0,0,0,7.39,0,0,0,0,0.63,0,4.17,0,0
 48-58,0,0,0,0,0.99,0.96,0,0,2.83,0,0,0,0,0,0,0.53,1.47,0,3.25,0,0,2.04,1.18,6.25,0,0,9.14,0,0,0,0,2.97,0,0.83,0,2.24
 60-70,0,0,1.44,0.6,0,0,0.65,1.21,15.53,0,0,0,0,0,0,0,0,0,7.07,0,0,0,0.87,0,0,0,5.91,0,0,0,0,0,0,1.83,0,0
 72-82,0,0,1.25,1.2,5.81,0,0,0,21.95,0,0,0,0,0.51,2.35,1.87,0,0,20.99,0,0,1.71,13.68,0,0,1.38,2.55,0,0,0,0,2.78,0,0,1.45,4.41
 84-94,0,0,5.51,9.1,5.23,0,1.68,1.51,29.27,0.62,1.36,0,0,0.86,8.36,0,0,0,37.17,2.4,1.4,0,13.52,0,0,4.62,16.25,0,0,0,0,1.36,0,3.15,0,8.51
 96-106,0,0,5.98,10.34,13.86,1.34,0,4.41,33.49,0,0,0,1.59,0.86,4.67,0,4.25,0,62.58,9.91,1.81,1.33,4.83,0,0,3.31,11.06,0,0,0,0,0,0,0.69,0.59,0.72
108-118,0,0,10.36,8.13,7.03,1.92,1.26,4.13,55.29,1.58,0,1.56,4.15,1.21,16.22,3.62,0.59,9.09,126,6.08,2.38,4.6,8.56,2.87,0.43,1.74,19.84,0,0.64,1.13,0,10.71,2.74,2.33,1.52,17.59
120,0,0,13.44,5.9,0,0,1.35,0,35.78,0,0,10.36,2.52,2.78,13.92,4.12,0,0,106.72,6.71,0,11.82,15.56,6.07,0,0,26.86,0,0,1.6,0,15.15,8.19,13.82,1.93,0
