stage,axial,blastomeres,endoderm,neural,paraxial.mesoderm
  3-4,0,49.11,0,0,0
  5-6,0,58.95,0,10.74,0
  7-9,11.38,12,4.22,24.53,11.69
 10-12,0,0,0,46.21,20.21
 14-21,0,0,0,2.32,0
 24-34,0,0,0,1.4,0
