stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,40.48,899.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.61,0,0,0,0,0,0,0,0,0,0
  5-6,45.61,1048.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.61,0,0,0,0,82.17,0,0,0,0,0,0,0,0,0,0
  7-9,17.55,26.64,0,15.18,0,0,102.29,0,0,0,0,38.63,0,0,0,0,0,0,0,0,0,0,0,655.29,9.25,0,0,203.61,36.41,4.81,0,0,0,0,0,0,0,0,0
 10-12,0,8.41,0,52.68,0,0,52.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554.84,34.2,0,0,211.49,23.4,3.78,0,56.79,0,5.74,0,0,0,0,0
 14-21,0,0,0,1.07,12.28,6.06,7.29,0,0,0.93,0,0.96,0,0,0.99,0,0,48.99,0,3.74,0,0,7.05,113.74,29.27,1.03,2.76,0.99,11.09,1.12,10.79,0,0,17.74,33.16,0,1.05,0,0
 24-34,0,0,0.84,0,3.95,5.4,24.3,0,0,0.62,0,2.95,0,0,0.61,0.82,0,15.86,2.09,9.88,0,0,3.46,164.9,2.85,0.85,0.78,0,16.04,0,0,0.7,0,2.67,53.23,0,0,0,4.93
 36-46,0,0,0,0,9.91,1.99,48.44,0,0,1.59,0,0,0.56,0,0,0,0,2.68,16.4,0.56,0,0.71,4.65,103.96,0,1.8,2.08,0,10.8,0,0,0.67,0,0,26.04,0,0,0,0
 48-58,0,0,0,0,3.97,0.67,97.23,0,0.81,10.37,0,0,0,0,0,0.84,0,3.76,0.79,22.05,3.08,0.96,1.33,165.65,0,0,0,0,23.14,0,0,0,0,0,15.72,0,2.76,0,11.93
 60-70,0,0,0,0,3.53,0,97.44,5.28,0,15.29,1.93,0,0,0,0,0,0,0.68,5.04,21.83,0,0,1.67,158.56,0,0,0,0,35.84,0,0,0,0,0,22.18,0,11.82,0,0
 72-82,0,0,0,0,0,3.77,78.57,2.2,0.5,10.35,0,0,0,0.64,3.98,0,0,0,1.95,15.9,0,0.55,9.23,61.18,0.5,0,3.22,0,24.78,0,0,0,0,0,4.49,0,1.15,0.77,0
 84-94,0,0,0,0,3.92,0,90.71,0,0,3.02,1.8,0,0,0,0.56,1.32,0,1.3,0.86,20.84,1.42,0,2.05,67.42,0,0,0,0,124.02,0,0,0,0,0,3.76,0.9,6.67,0,0
 96-106,0,0,0,0,0.57,0,63.25,2.85,0,5.82,3.5,0,0,2.47,3.32,0,2.82,0,0,8.19,0,3.24,0.58,45.19,2.97,2.68,2.06,0,56.14,0,0,0,0.62,0,0,0,0,1.05,0
108-118,0,0,0,0,2.31,0.41,31.52,0,0,4.27,1.42,0,0,0.54,2.1,0.98,0.49,0.8,1.99,20.92,0.48,0,1.98,46.16,0,1.17,0,0,67.94,0.48,0,0,0,0,2.11,0,0.42,0.42,0
120,0,0,0,0,3.91,0,105.55,0,0,12.52,1.53,0,0,6.69,0,0,0,0,0,10.14,0,0,2.81,85.43,0,0,3.97,0,36.55,0,0,3.24,0,0,3.82,0,3.52,0,0
