stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,27.34,51.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,261.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.24,34.78,0,56.96,0,0,0,71.3,0,0,0,0,0,23.94,0,0,0,0,0,0,0,0,0,547.5,0,0,0,178.78,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,45.79,0,142.78,0,13.26,0,45.6,0,0,0,0,0,15.27,0,0,0,0,0,0,0,0,0,980.04,18.4,0,0,256.67,0,0,0,55.83,0,0,0,0,0,0,0,0
 14-21,0,0,0.82,23.21,136.96,60.25,0,51.97,0,0,0,11.73,17.49,0,7.25,0,6.71,0.87,0,0,97.68,0,186.59,452.82,10.31,0,11.49,11.78,0,2.46,42.33,8.29,13.84,251.49,215.58,0,0,22.27,0,0
 24-34,0,0,0,9.64,17.15,4.75,0,34.75,0.75,0.68,3.71,26.76,0.64,0,14.22,0,0.6,0,0.81,7.74,210.64,0,100.84,349.67,25.34,0.76,12.71,0,0,3.89,0,3.43,0,26.72,110.34,0,0,251.58,0,13.96
 36-46,0,0,0,0,3.38,0,0,21.32,0,0,15.13,10.3,0,0,6.34,0,0,0,0,0.57,201.48,5.63,83.45,158.4,24.52,0,6.53,0,0,6.95,0,0,0,0,46.43,0,0,291.11,0,0
 48-58,0,0,0,0,3.01,1.4,0,21.85,0,2.79,5.59,9.02,0,0,2.2,0,0,0,0,0,208.11,1.44,88.08,109.56,19.1,0,3.43,0,0,1.05,0,0,0,0,19.46,0,0,200.76,0,0
 60-70,0,0,0,0,0.85,10.02,0,29.01,0,0,0.57,6.5,0,0,4.27,0,0,0,1.13,1.2,292.7,1.19,141.08,62.91,6.13,0,4.14,0,0,3.96,0,0.97,0,0,7.98,0,1.31,145.72,0,3.32
 72-82,0,0,0.87,0,3.02,0,0,56.83,1.43,0,5.36,3.69,1.1,0,0,0,0,0.59,1.74,0,384.54,1.38,193.34,66.39,6.75,0.71,3.85,0,0.87,1.25,0,0,0,0,6.5,0,5.88,180.9,1.25,0
 84-94,0.62,0,0,0,0.72,0,0,32.26,0,0,9.23,0,0.74,0,0.97,0,0,0,0.58,0,335.74,1.57,133.31,39.31,11.32,0,4.36,0,0,0,0,1.49,0,0,4.83,0,0.63,161.97,1.76,0
 96-106,0,0,0,0,7.13,7.83,0,48.34,0,0,6.74,5.35,0.6,0,0,0.78,0.96,0,0,0,407.45,4.73,161.51,36.95,3.08,0,4.7,0,1.96,13.74,0,0.6,0,0,4.62,0,2.36,186.13,3.19,0
108-118,0,0,0,0,0.95,0,0.9,25.43,0,0.57,13.67,12.55,0,0,0,0.75,0,0,0,0.63,546.72,2.74,129.51,50.55,4.49,0,11.76,0,0,1.7,0,0,0,0,4.3,0.6,6.09,119.87,0.49,0
120,1.19,0,0,0,0,0,0,4.88,0,0,14.6,37.06,0,0,0,0,0,0,4.42,0,334.41,0,113.88,48.99,2.43,0,20.04,0,0,0,0,0,0,0,4.01,1.99,5.53,106.25,0,0
