stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,hatching.gland,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,107.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,38.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.96,0,0,0,4.06,0,0,0,0,0,0
 10-12,0,0,0,0,3.44,0,0,0,14.14,0,0,0,0,0,0,0,0,34.04,0,0,0,0,0,0,13.51,0,0,0
 14-21,0,6.76,0.92,0,4.74,0,0,9.61,0,0,0,0,0,0,1.78,0,3.18,43.19,5.1,0,1.94,0.84,0,3.39,0,2.99,36.83,0
 24-34,0,3.74,0,0,7.38,0,0,5.38,0,0,0.62,0,0,0,2.25,0,3.28,112.67,2.59,3.61,0,0,0,0,0,0.93,55.18,1.74
 36-46,0,2.61,0,0,74.52,0,0,5.81,0,0,0,0,0,2.72,2.15,0,1.31,76.18,2.02,1.14,0,0,0,0,0,0,48.02,0
 48-58,0,4.92,0,0,157.77,0,0.86,31.02,0,0,0,0,0.38,0,6.48,0,5.02,83.99,0,0,0.67,0,0,0,0,0,59.11,1.62
 60-70,0,0,0.61,0,249.12,0,0.73,58.59,0,0,0,0,0,0,1.77,0.6,0,60.92,0,0,0.89,0,0,0,0,0,23.52,0
 72-82,0,0,0,0,125.95,0,0,51.33,0,0,0,0,0,0,4.29,0,2.5,49.45,0,1.23,0.51,0,0,0,0,0,19.28,4.39
 84-94,0,1.6,0,0,81.58,0.76,0,24.32,0,0,0,0,0,0,4.31,0,0,48.33,0,0,2.4,0,0,0,0,0,17.92,0
 96-106,0,0,0,0.97,78.34,0,0,34.34,0,0,0,0.66,0,0,3.32,0,3.21,23.28,0,0,0,0,1.78,0,0,0,3.04,0
108-118,0,1.35,0,0,124.76,0,0,78.6,0,0,0,0,0.56,0,0,0,0,29.54,0,0,0.44,0,0,0,0.5,0,4.8,0
120,0,0,0,0,132.61,0,0,90.46,0,2.22,0,0,0,0,12.6,0,2.07,65.33,0,0,2.28,0,0,0,0,0,15.16,0
