stage,blastomeres,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,vasculature
  5-6,12.81,0,0,0,0,0,0,0,0,8.36,0,0,0,11.47,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,28.76,0,29.43,0,0,0,0,0
 10-12,0,0,0,0,0,0,9.8,0,0,7.55,0,0,0,0,0,0,0
 14-21,0,1.48,1.69,0,0,1.13,0,0,0,7.03,0,0,0,0,0,2.71,0
 24-34,0,0,5.06,0,0,0,0,3.68,0,26.3,0,0,0,2.69,0.76,4.06,0
 36-46,0,0,5.39,0,0,0,0,1.09,0,18.41,0,0,0,0.81,0,1.66,0
 48-58,0,0,8.86,0,0,0.98,0,2.23,0,1.77,0,0,0,0,0,0,0
 60-70,0,0,0.59,0,0,0,0,0,0,3.17,0,0,1.22,0,0,0.67,0
 72-82,0,0,0,0,0.59,2.24,0,0,1.38,1.49,0,0,0,0,0,0,0
 84-94,0,0,0,8.07,0,0,0,2.58,0.65,1.9,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0.99
108-118,0,0,0,0,0,1.1,0,0.83,0,5.04,0,0,0,0,0,0,0
120,0,0,0,0,0,1.18,0,0,3.57,0,2.98,0,0,0,0,0,0
