stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,iridophores,melanocytes,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,16.74,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36,0,0,0,0,0
  7-9,12.19,3.22,0,0,0,0,0,0,0,0,0,133.23,109.09,0,0,0,0,0,0
 10-12,3.88,0,0,0,0,0,0,0,0,0,0,73.81,135.32,0,0,0,0,0,0
 14-21,0,0,3.26,0,0,1.35,1.93,0,0,2.03,1,0,0,0,4.29,0.99,0,0,0
 24-34,0,0,0,0,0.77,0,0,0,0,0.69,0,1.22,0,0,0,0,4.9,0,5.35
 36-46,0,0,0,0,1.18,0,0,0,0,0.68,0,11.02,0,0,0,0,5.83,0,0
 48-58,0,0,0,0,2.91,5.15,0,0,0.54,0.46,0,68.84,0,0,0,0,7,0,0
 60-70,0,0,2.4,0,9.58,3.51,0,0,0,0,0,138.5,0,0,0,0,74.23,9.06,1.18
 72-82,0,0,0,0,23.09,2.51,0,0,0,2.27,0,162.13,0,0,0,0,77.21,0,0
 84-94,0,0,0,0,20.35,2.13,0,0,0,2.36,0,195.06,0,0,0,0,32.2,0,0
 96-106,0,0,2.85,0,11.24,4.7,0,0,0,1.29,0,117.6,0,2.98,0,0,8.11,0,9.66
108-118,0,0,0.88,1.46,52.37,4.43,0,0.56,0,10.28,0,192.62,0,0,0,0,13.29,0,1.31
120,0,0,0,0,39.24,0,0,0,0,13.55,0,280.95,0,0,0,0,12.17,0,0
