stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,12.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,15.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.79,0,11.05,0,0,19.39,0,0,0,0,0,0,0,0,0,0,0,0,0,66.4,19.7,0,10.42,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,25.21,0,0,43.03,0,0,0,0,0,0,0,0,0,0,0,0,0,225.91,476.12,0,29.35,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,16.09,116.06,5.91,0.82,47.45,0,2.55,21.79,6.72,14.79,0,2.28,0,70.23,0,0,28.26,78.25,1888.72,0,3.86,0,0,3.88,4.07,0,0.9,10.21,0,1.09,0,0
 24-34,0,0,0,32.29,1.53,1.23,119.84,44.91,1.73,0,0,193.34,0,0,0,88.81,0,8.73,51.09,74.58,160.75,3.17,0,29.16,0.63,0,0,0.98,4.12,12.75,0,0,0,5.52
 36-46,0,0,0,5.29,11.69,4.58,31.91,170.74,1.34,0,0,173.39,3.1,0,1.21,144.88,1.45,57.11,19.62,46.37,13.3,0,0,16.12,0,0.73,0,0,0,15.25,0,0,0,0
 48-58,0,0,0,0,0,6,23.74,277.33,1.52,0.38,0,132.18,0.53,0,0,71.21,0,50.97,15.9,38.7,2.08,0,0,45.32,5.61,0,0,0,0,7.29,0.44,0,0,0
 60-70,0,0,0,0,0,1.95,14.11,153.61,1.84,0,0,35.35,0,0,0,80.22,0,28.36,0.94,19.26,0,0,0,97.22,0,0,0,0,0,0,15.3,0,2.5,0
 72-82,0,0,0,0,0,27.48,7.4,178.03,0,0,0,0,0.71,0.54,0,36.79,0,77.29,11.38,31.63,0,0.61,0,127.36,0,0,0,0,0,1.37,14.78,0,3.29,0
 84-94,0,0,0,0,0,4.18,1.22,142.62,10.53,2.08,0,25.95,0,0,0,46.6,0,49.29,0.65,21.13,0,1.56,0,105.41,0,0,0,0,0,3.74,24.33,0,19.17,0
 96-106,0,0,0,0,0,12.79,1.91,141.3,0.66,0,0,0.66,0.79,9.11,0,14.46,0,53.4,0,57.85,0,1.7,0,163.53,0,0,0,0,0,0,17.77,0,8.18,0
108-118,0,0,0,0.87,0,9.09,0,70.49,0.9,2.77,0,3.34,0,0,0,8.89,1.55,59.91,0,23.17,0,1.01,0,158.5,1.89,0,0,0,0,0,5.89,3.39,1.27,3.48
120,0,0,0,0,0,2.65,0,57.51,0,0,0,0,0,0,0,0,0,30.98,0,30.22,0,3.9,0,134.94,0,0,0,0,0,0,15.93,0,0,0
