stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,78.37,796.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.22,519.99,0,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.83,0,17.54,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.23,0,44.25,0,0,34.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.9,0,0,0,40.44,0,3.5,6.96,0,0,0,0,0,0,0,0,0
 10-12,0,6.18,0,26.79,0,0,55.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482.13,13.67,0,0,95.68,0,0,4.94,0,52.99,0,0,0,0,0,0,0
 14-21,0,0,0,0,8.8,2.59,1.69,0.88,0,2.4,1.08,0,0,0,0,0,0,0,10.64,0,0,5.27,52.64,4.18,1.23,0,13.97,0,7.23,0,3.91,0.94,7.76,18.83,0,0,0,0,9.35
 24-34,0,0,0,0,4.94,0,9.15,0,0.62,0.65,0,0,0,0.72,0,0,0.95,0,15.7,0,0,5.51,53.05,0,0.69,0.67,0,1.14,21.26,0,0,0.7,2.02,6.21,0,0,0.63,0,2.17
 36-46,0,0,0,0,0.91,0,6.9,8.09,1.64,4.77,0,0,0,0,0,0,0,0.61,13.44,0,0,7.27,70.2,0,0,0,0,0,38.93,0,0,0,0,9.75,0,0,0,0,0
 48-58,0,0,0,0,1.66,0,5.15,5.88,1.71,3.84,1.98,0,0,0,0,0,0,0,18.07,0,0,2.2,22.03,0,1.08,1.66,0,0,38.45,0,0,1.07,0,7.42,0,0,2.08,0,1.16
 60-70,0,0,0,0,0.69,0,11.42,2.72,0.81,4.74,0.59,0.59,0,0,0.82,0,0,0,21.46,0,2.64,1.74,7.13,0,0,0.76,0,0,46.32,0,0,1.84,0,0.93,0,0,0,0,0.72
 72-82,0,0,1.14,0,2.2,0,5.54,0,0.58,0.68,2.78,0.86,0,1.12,0,1.15,0,3.9,49.08,0,1.24,2.98,8.99,0,0,1.32,0,0,41.83,0,0,0,0,10.71,0,0,5.64,0.84,0
 84-94,0,0,1.18,0,12.39,4.26,3.8,6.98,5.15,8.29,3.63,1.42,1.81,3.55,1.97,0.78,0,0.96,22.9,1.68,1.09,7.03,13.6,0,1.55,1.49,0,0.6,98.8,0,0,0,0,0,0,0,0,0,0.82
 96-106,0,0,0,0,9.62,8.62,4.83,1.35,0,12.1,3.08,1,0,0,1.89,0,0,0,26.17,0,4.01,0.95,13.69,0,0,0,0,6.47,74.97,0,0,0,0,2.63,1.55,1.03,1.95,0,0
108-118,0,0,0,0,10.12,0.72,4.37,8.23,0.8,10.31,5.98,1.35,2.98,2.36,5.75,0.76,0,5.3,32.72,0.94,1.26,3.9,22.2,0,0.59,2.76,0,0,83.76,0,0,0,0,0,1.59,0,5.22,0.97,7.84
120,0,0,0,0,12.95,0,14.04,2.78,0,21.78,9.95,0,16.09,1.05,0,0,5.3,0,5.83,0,0,2.36,6.84,0,0,1.5,0,16.5,61.26,0,0,0,0,0,0,0,0,0,0
