stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,23.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,8.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,5.01,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.79,0,0,10.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.04,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.22,8.24,0,0.83,2.2,3.1,1.89,42.77,0,0,1.2,0,0
 24-34,0,0,0,0,0,0,6.26,0,0,0,0.61,0,0,0,0,0,0,0,0.95,0,0,1.02,322.32,46.46,1.32,0,0.73,4.97,0.65,135.47,0,0,1.01,0,0
 36-46,0,0,0,7.96,0,0,28.12,0,0.68,0,1.3,0,0,0,0,0,0,0,3.22,0,0,0,2119.18,100.3,1.83,0,3.48,0,0,469.33,0,0,0,0,8.92
 48-58,0,0,0,1.19,0,0,81.73,0.4,0,0,4.46,0,0,0.74,0,0,0,0,5.23,0,1.42,5.37,2103.91,45.54,2.36,0,0.39,1.07,0,452.51,0,0,3.44,0,0
 60-70,0,0,0,1.5,0,0,317.57,0,0,4.21,21.38,0.72,0,0,0,1.09,0,1.06,5.31,0,0,0,4255.48,82.45,0,0,0,2.31,0,852.1,0,0,0,0,5.13
 72-82,0,0.71,0,3.03,0,0,210.61,0.79,0,0,13.74,0.56,0.58,0,0.63,0,0.79,0,16.47,0,0,0,2134.07,43.78,0,0,0.78,1.07,0,185.97,3.98,0.87,4.15,0,1.14
 84-94,0,0.66,0,3.36,0,0,193.84,0,0,0,15.41,0,0,0.6,0,0,0,0,23.65,1.03,5.29,0,1535.01,24.97,0,0,2.17,0.55,0,88.02,0.9,0.84,0,2.61,0
 96-106,0,1.36,0,7.69,2.65,0,104.68,0,0,0,11.09,0.74,0.99,0,0,0,1.11,1.54,17.99,0,0,0,1132.17,43.19,0,0,3.55,0,0,35.49,0,1.51,0,0,0
108-118,0,0,0,8.12,0,0.78,96.56,0.44,0,0,15.71,0.91,0,0,0,0,0,2.95,7.98,0,0,0.6,907.71,31.39,3.84,0,0,0,0,37.71,0.67,0,1.07,0.48,0
120,0,0,0,1.33,0,0,146.05,0,0,0,6.63,0,0,0,0,0,0,0,25.89,0,0,0,1435.44,55.66,0,0,0,0,0,37.88,1.27,0,0,0,0
