stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,61.34,966.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.99,0,0,0,0,0,0,0,0,0,0
  5-6,29.36,786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.38,0,0,0,9.5,0,32.14,0,0,0,0,0,0,0,0,0,0
  7-9,14.95,18.12,0,10.98,0,0,0,74.02,0,0,0,0,13.66,0,0,0,0,0,0,0,0,0,0,0,414.74,24.84,0,0,70.18,0,0,9.39,0,0,0,0,0,0,0,0,0
 10-12,0,37.69,0,79.53,0,16.04,0,130.75,0,0,0,0,16.57,0,0,0,0,0,0,0,0,0,0,0,1281.85,12.04,0,0,144.42,0,10.14,4.94,0,30.34,0,0,0,0,0,0,0
 14-21,0.89,0,1.14,43.91,151.84,35.81,0,89.95,0,0,13.56,16.16,0,4.84,0,0,0,0,88.44,20.59,110.74,0,0,71.87,574.67,48.58,0,8.38,5.34,0,80.96,16.62,15.15,24.06,1.83,19.78,207.6,0,4.41,0,14.48
 24-34,0.88,0.83,0.81,67.29,88.45,5.8,0,153.92,0,0,28.99,8.01,0,13.73,1.85,0,4.95,0.86,80.61,56.42,198.59,3.32,1.66,98.63,963.55,19.67,4.38,11.36,0,0,50.34,1.06,0,34.19,8.37,7.42,279.35,0,56.25,0,35.33
 36-46,0,0,0.73,5.57,23.02,0.76,0,225.83,0,1.45,20.48,5.11,0,2.72,4.64,0,10.39,0.65,49.42,62.98,68.16,0,5.64,12.42,1298.47,4.05,2.27,6.48,0,3.82,47.34,5.67,0,25.11,6.73,0.56,231.42,0,37.25,0,8.54
 48-58,0,0,0,0,4.19,0,0,855.97,0,2.41,68.16,3.96,0,0,3.59,4.95,18.72,0.49,7.34,13.67,34.62,0,1.73,3.48,1663.16,0.58,6.85,1.18,0,0,11.93,0.65,0,3.74,0,0,265.88,0.49,26.87,0,74.12
 60-70,0,0,0,0,15.44,0,0,1713.63,1.55,2.67,84.58,0.65,0,0.93,3.09,0,35.54,0,1.99,11.93,48.59,1.91,4.31,9.6,1883.83,1.63,1.44,4.26,0,1.21,7.19,0,0,6.61,0,0,198.32,1.9,17.43,0,11
 72-82,0,0,1.78,0,13.06,1.98,0,1168.03,2.07,14.25,68.56,8.78,0,0.81,10.83,0,18.33,0,5.5,5.28,56.72,0,1.76,1.75,1504.04,0,1.63,3.73,0,0.72,1.71,0.56,0,6.1,0,0,118.95,1.85,19.01,0.59,22.24
 84-94,0,0,4.85,0,11.34,1.51,0.59,1068.71,10.72,15.28,78.62,7.5,0,0,6.53,0.69,41.47,1.05,6.85,3.07,56.28,0.65,2.75,5.84,1015.93,0,5.23,6.94,0,0.79,2.3,0,0,22.08,0,0,98.35,6.07,14.6,12.95,14.69
 96-106,0,0,0.81,0,7.16,7.34,0,721.89,1.49,8.94,102.47,13.13,0,1.67,11.35,0.86,12.77,0.63,11.24,1.91,26.76,0,10.39,0,882.11,2.71,6.53,1.94,0,0.79,9.33,1.39,0,13.47,0,0,51.56,1.2,13.73,1.81,15.17
108-118,0,0,2.95,0,15.85,1.21,0,594.27,0.48,3.37,79.82,4.35,0,0,10.04,0.81,23.18,0,10.93,3.36,23.37,0,1.62,5.48,1009.36,1.35,2,12.06,0,0,3.45,0,0,11.03,0,0,35.59,0,13.67,0,7.54
120,1.19,0,0,0,19.52,0,0,493.42,0,19.12,126.32,19.27,0,0,17.56,0,10.71,0,0,1.33,70.15,0,0,6.37,1593.54,1.1,1.26,8.28,0,0,6.78,2.5,0,13.41,0,0,4.2,6,41.58,5.15,0
