stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,11.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,7.72,0,0,0,0,0,0,6.33,0,0,0,3.92,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,1.09,1.13,0,0,0,0,42.06,0,0,0,0,0
 24-34,0,0.99,0,0,0,0,0,9.28,0,0,0,0,1.85,0,0,10.11,0.66,1.89,9.72,0,55.02,7.77,0,0,0,2.53
 36-46,0,0,0,0,0,0,0,0.59,0,0,0,0,2.01,0,0,9.64,0,3.1,0.57,0,6.26,17.44,1.04,0,0,0
 48-58,0,20.84,0,0,1.84,0,0,7.99,2.77,0,0,0,5.32,0,0,9.41,0,0,0,0,24.11,0,1.6,0,0,0
 60-70,0,13.76,0,0,0.78,0,0,0,0,0,0,0,18.45,2.75,0,3.39,0,0.63,0,0,22.58,5.44,0,2.13,0,0
 72-82,0,10.79,0,0,3.38,0,0,4.09,1.1,0,0,0,24.47,0,0,3.45,0,0,0,0,4.32,0,0,0,0,0
 84-94,0,5.47,0,0,0,0,0,19.72,4.21,0,0.67,0,35.86,0,0,0,0,10.88,0,0,8.13,11.73,0,0,1.31,0
 96-106,0,0,0,0,0,4,0.96,48.88,0,1.33,0,33.31,36.13,7.02,0,3.39,0,2,0,0,1.5,4.94,0,0,0,0
108-118,0,1.21,3.61,0.78,2.01,1.85,1.52,45.84,0,0,0,5.51,29.99,4.19,0,12.8,0,1.35,0,0,29.03,17.04,0,0,0,0
120,0,0,0,0,10.81,0,0,18.07,0,0,0,2.26,5.92,12.89,0,2.47,9.81,0,0,0,5.11,8.21,0,0,5.29,0
