stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,134.58,1950.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.2,0,0,0,0,0,0,0,0,0
  5-6,97.22,1440.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.15,7.03,0,0,0,0,41.87,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,6.14,0,0,0,0,0,136.95,0,0,0,0,0,0,0,0,174.55,0,0,0,34.15,0,3.51,6.94,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.56,0,0,0,0,0,0,0,0,0,327.24,0,0,0,0,0,0,0,0,54.82,14.73,0,0,12.3,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,35.43,0,76.5,9.76,0,1.77,0,0,0,0,0,71.55,0,0,0,0,0,3.63,0,4.89,82.83,604.89,0,0,0,0,2.27,1.26,0,0.93,1.01,52.06,0,0,0,0
 24-34,0,0,15.48,0,62.41,0,0,3.67,0,0,0,3.24,0,14.11,0,0,1.23,0,0,8.42,0,8.06,346.01,437.78,3.84,0.77,0,0,5.14,0,0,0,0.8,178.78,0,0,10.15,0
 36-46,0,0,9.63,0,54.9,0,0,13.99,1.33,0,0,1.48,0,2.62,0,0,0,5.97,7.13,25.6,0,1.38,356.22,349.37,0.66,0.64,0,0,5.69,0,0,0,0,193.9,0,0,3.13,0
 48-58,0,0,5.4,0,15.13,0,0,30.55,0,0,0,6.76,0,1.32,0,0,0,0,3.73,34.89,0,3.34,404.64,159.03,0.44,1.11,0,0,2.1,0,0.73,0,0,135.22,0,0,0.53,0
 60-70,0,0,1.48,0,11.14,0,0,77.97,0,0.9,1.38,4.58,0,0,0,0,0,0,0,18.34,0,1.55,354.59,86.68,1.02,0.62,0,1.08,1.41,0,0,0,0,118.78,0,0,0,0
 72-82,0,0,12.85,0,3.84,5.65,0,241.19,0,0,0,13.02,0,0.6,0,0,0,0,0,21.48,0,2.62,403.45,10.09,1.38,0,0,0,0,0,0,0,0,84.22,0,1.76,1.46,0
 84-94,0,0,12.68,0,0.61,0,0,168.76,1,1.6,0,15.49,0,5.8,0,1.71,0,0,0,9.72,0.99,0,283.76,8.98,2.7,7.38,0,0,0,0,0,0.61,0,39.46,0,0,1.4,0
 96-106,0,0,14.83,0,8.29,4.01,0,265.24,0,0.75,0,4.1,2.34,2.64,1.02,1.06,0,6.67,0,7.32,0,0.86,327.04,2.28,0.93,0.73,0,0,0.94,0,0,0,0,33.61,0,4.4,0.91,3.27
108-118,0,0,8.28,0,2.04,0,1.7,187.75,0,1.45,0,7.41,4.78,0,0,0.75,0,0,0,12.34,0,0,360.79,3.19,0,0,0,2.26,1.72,0,0,0,0,53.72,0.71,1.49,0,0
120,0,0,25.88,0,1.12,0,4.06,133.78,0,2.48,0,7.55,0,0,0,2.34,0,0,0,16.29,0,0,752.53,0,0,0,0,0,7.15,0,0,0,0,71.73,0,10.56,0,0
