stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,116.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.66,61.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.61,0,0,0,0,0,7.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.67,10.32,0,0,4.23,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.3,7.44,0,0,17.29,0,0,22.17,0,0,0,0,0,0,0
 14-21,0,0,0,0,147.76,2.74,0,0,4.1,0,0,0,0,0,2.33,0,0,1.36,32.25,1.02,0,13.94,22,0,0,1.77,0,1.41,1.96,0,0,1.61,1.86,0,0,0,0
 24-34,0,0,0.75,4.35,96.49,2.38,5.35,0,29.32,0.63,0,2.11,1.44,0,0,0,0,6.07,111.85,0.83,0.81,32.71,64.28,0,21.69,0.77,0,2.72,0,1.89,0,3.33,18.05,0,0,0,0
 36-46,0,0,0,0,0.57,0,5.13,4.81,4.25,0,3.03,0,0,0,0,0,0,0,37.25,0,0,0,132.89,0,48.02,3.36,0,0.66,0,0,0,0,30.58,0,0,0,0
 48-58,0,0,0,0,2.76,0,21.39,0,12.13,0.82,1.99,0,0,0,0,0,0,0,6,0,0.55,0,298.95,0,35.75,6.15,0,0,0,0,1.01,0,61.71,0,0.51,0,0
 60-70,0,0,0,0,1.27,0,52.82,4.21,3.6,0.84,10.67,0.85,0,0,0,0,0,0,19.78,0,2.42,0,695.07,0,48.14,12.21,0,0.63,0,0,0,0,101.59,0,2.92,0,0
 72-82,0,0,0.95,0,0,2.31,182.35,2.53,0,1.67,19.64,0,0,0,0,0,0.68,1.05,24.3,0,2.44,0.57,967.42,0,71.89,6.42,0,2.86,0,0,0,0,76.44,1.36,0,0,0
 84-94,0,0,0,0,5.7,0,138.79,0,2.06,1.01,18.36,0,0,0.75,0,0,0,0,33.12,0,1.22,0.59,857.81,0,46.52,3.39,0,6.52,0,0,0,0,84.86,0,0,3.4,0
 96-106,0,0,0,0,4.23,1.85,220.64,1.25,3.15,0,25.44,0,0.71,0,0.71,1.11,0,0,25.88,0,1.14,0.78,753.06,0,61.64,2.87,0,2.19,0,0,0,0,57.86,3.17,0.88,5.65,0
108-118,0,0,1.21,0,1.67,0,199.54,0,0.95,0,18.68,0.58,0,0,0,1.1,0,0.51,23.09,0,3.99,0,828.72,0,26.98,8.39,0,2.68,0,0.51,0,0,39.9,1.35,2.56,0,0
120,0,0,4.41,0,1.08,0,168.81,2.29,1.31,5.01,51.59,0,0,4.95,0,0,0,8.18,32.18,0,0,0,1175.8,0,21.48,6.31,0,0,0,0,0,0,60.1,0,0,5.18,14.27
