stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,glial,hatching_gland,immune,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pronephros,slow_muscle,spinal_cord,vasculature
  3-4,0,22.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.71,9.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.33,0,0,0,0,0,0,0,0,0,3.47,0,0,0,0
 14-21,0,0,1.69,1.33,0,0,0,0,0,0,0,0,0,0,18.25,0,0,0,0,0,24.46,0
 24-34,0,0,0.62,0,0,0,0,0,0,0,0.68,0,0,0.91,32.76,0,0,0,0,0,10.08,0
 36-46,0,0,0,0,2.98,7.84,0,0,0,0,0.73,0,0,0,83.51,9.01,0,0,0,1.14,11.68,0
 48-58,0,0,0,0,0.88,10.5,1.65,0,5.26,0,0,0,2.99,0,100.72,2.1,0,0,0,0,14.1,0
 60-70,0,0,0,0,1.12,105.06,1.73,0,0,0,0.79,0,0,0,287.24,0.98,2.12,0,0,0,33.55,7.15
 72-82,0,0,0,0,0.88,69.86,2.74,0,0,0,1.66,0,0,0,92.47,1.32,0,0,0,0,13.71,0
 84-94,0,0,0,0,0,69.5,2.73,0,1.68,0,0.93,0,0,0.87,125.18,0,0,0,0,0,17.95,0
 96-106,0,0,0.61,0,0,52.56,6.12,0,0,0,0,5.16,0,0,69,0,0,0,0,0,0,0
108-118,0,0,0,0,6.19,60.44,5.12,0,0.78,0.68,3.09,0,0,1.21,122.35,3.15,0,0,0,0,3.45,0
120,0,0,0,0,3.32,98.12,0,0,2.12,0,0,0,0,0,107.42,0,0,0,1.22,0,2.31,0
