stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,0,134.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.43,329.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.66,0,0,0,6.17,0,0,0,0,0,0
  7-9,11.34,7.09,0,13.52,0,0,22.73,0,0,0,0,13.83,0,0,0,0,0,0,303.03,5.37,0,0,122.08,0,0,0,0,0,0
 10-12,0,0,0,14.8,0,0,23.1,0,0,0,0,0,0,0,0,0,0,0,164.57,12.14,0,0,49.54,0,0,7.46,0,0,0
 14-21,0,0,1.32,0,2.82,0,0.81,0,0,1.18,0,0,0,0,0,0.88,2.94,1.02,11.61,0,0,1.05,1.14,0,2.76,0,3.43,1.88,0
 24-34,0,0,0,0,2.31,0,0.79,0,0,2.02,1.88,0,1.33,0,0.65,0,6.86,1.72,13.84,0,0.63,1.46,0,0,0,0,0,4.67,2.56
 36-46,0,0,0,0,4.52,0,10.24,0,0,0,0,0,0,0,0,0,3.81,2.57,25.11,0,3.12,0.58,0,1.69,0,0,0,5.12,0
 48-58,0,0,0,0,2.04,0,18.52,0,0,0.56,0.92,0,0,0,1.59,0,2.04,0,10.64,0,0,4.37,0,0,0,3.25,0,2.22,0
 60-70,0,0,0,0,1.13,0.74,8.42,2.87,0,0.68,6.42,0,0,0,0,0,1.87,3.63,3.13,0,0,0.57,0,1.28,0,0,0,0,0
 72-82,0,0,0.79,0,3.02,0,3.86,0,1.48,0,0,0,0,2.21,0,0,1.37,1.12,9.12,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.23,0,4.84,0,0,0,0,0,0,0,0,0,2.87,0,0,0,0,0,0,1.83,0,0,0,1.26,0
 96-106,0,0,0,0,0.58,0,0,0,0,0,0,1.06,0,0,0,0,0,0,5.63,0,0,1.74,0,2.66,0,0.58,0,0,0
108-118,0,0,0,0,0.7,0,0,0,0,4.59,0,0,0,0,0.7,0,5.96,1.64,7.7,0,0.45,0.84,0,0.9,0,0,0,0,0
120,0,0,0,0,7.36,0,0,0,0,0,0,0,0,0,0,0,3.48,0,4.4,0,0,0,0,0,0,0,0,0,0
