stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,2.71,11.85,1.98,0,13.36,0,0,0,4.36,0.97,0,0,0,0,0,0,0.94,8.88,0,0,6.17,86.68,0.88,0.83,0,1.84,0,1.57,6.3,0,11.42,9.93,22.73,0,0,2.64,0,0
 24-34,1.1,2.93,1.97,0,0,35.4,13.27,0,0,6.44,0,0,0,0,0,0,0,0,16.16,0,0,9.55,353.01,8.1,0,4.89,0,0,5.17,0,1.63,17.88,16.76,72.28,0,0,3.6,0,0
 36-46,0,0,19.59,0,0,66.33,55.77,0,0,15.05,0,0,0.57,0,0,0,0,0,16.26,0,0.55,6.56,301.83,0,9.16,0.72,0,0,3.19,0,6.8,45.5,0.63,57.55,0,0,0,0,0
 48-58,0,0,0.4,0,0,179.07,66.53,0,1.35,24.38,1.07,1.78,0,0,0,0,0,0,29.66,0,0.82,9.83,369.56,0,3.2,7.13,0,0,3.07,0,0.73,23.24,0,72.3,0,0,2.04,0,4.66
 60-70,0,0,0,0,0,273.8,62.59,0,0,29.27,0.84,0,0,0,1.16,0,0,0,25.73,0,1.46,21.76,359.72,5.95,0.67,1.03,0,0,8.87,0,0.73,24.38,0,47.89,0,0,0,0,0
 72-82,0,0,1.69,1.65,1.04,670.95,50.95,0,5.78,55.6,0,2.3,0,0,0.69,0,0,0,48.21,0,0.78,29.41,596.61,0,17.7,1.85,0,0,0,0,0.73,6.63,0,57.48,0,0,4.05,1.53,10.86
 84-94,2.22,0,2.13,3.75,0,317.81,66.98,0.66,2.25,51.14,0,1.01,0,0,11.46,0,0,0,28.31,0,3.59,10.35,297.9,0,6.75,1.5,0,0,7.3,0,0,14.31,0,33.9,0,0.59,8.84,0,0
 96-106,0,0,1.37,13.04,0,370.5,46.96,0,11.6,47.73,0,0.89,4,0,2.7,0,0,0,41.92,5.3,7.63,16.07,315.26,0,8.49,1.65,0,1.92,8.55,0,0,17.75,0,19.09,0,0,0,0,12.53
108-118,0,0.44,11.12,7.67,0,335.31,55.55,0,0.46,69.55,0.9,0,2.47,0.42,0,1.71,5.72,0,45.63,0,6.82,17.67,404.46,0,4.17,1.15,0,0,6.11,0,0,13.14,0,20.03,1.87,0,1.52,2.07,1.42
120,0,0,16.92,6.68,0,172.27,34.32,7.58,14.53,40.85,0,0,5.91,0,0,2.64,1.97,1.64,40.29,0,0,33.96,567.35,0,0,1.25,0,2.03,5.04,0,0,5.07,0,26.42,0,0,13.91,0,0
