stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,glial,heart,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,visceral.smooth.muscle,xanthophores
  5-6,13.97,13.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.35,0,0,0,0,0,0,0,0,0,15.77,3.7,0,0,11.08,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,8.99,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.87,1.94,0,3.56,0,0,0,3.11,0,19.46,0,3.47,7.5,0,0,1.06,0,0,2.8,6.18,0,0
 24-34,0,0,0,0,0,2.07,0.99,1.23,8.83,1.9,1.38,37.12,0,6.19,6.31,0,0,0,0,0.61,0,3.26,0,0
 36-46,0,0,0,0,0,5.37,0,0,0,6.07,0.63,39.85,0,2.44,3.22,0,0,0,0,0,0,5.59,0,0
 48-58,0,0,0.52,0.85,0,5.38,0.39,0,4.33,2.55,0,31.48,0,1.41,8.67,0,0,0,0,0,0,2.98,0,1.42
 60-70,0,0,0,0,0,4.22,0,0,2.11,0.77,0.6,35.73,0,5.12,3.27,0,0,0,0,0,0,9.14,0,0
 72-82,0,0,1.03,0,0,5.99,0.61,0,12.98,0,0,38.67,0,8.05,4.95,0,0,0,0,0,0,0.64,0,0
 84-94,0,0,0,0,0,4.73,0,0,11.41,10.59,0,18.24,0,3.81,10.09,0,2.3,0,0,0,0,0,0.77,0
 96-106,0,0,0,0,0,0,0,0,42.79,2.28,0,14.57,0,4.24,12.37,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,2.74,0,0,0.52,27.14,1.58,0,10.8,0,2.65,16.23,0,0,0,1.21,0,0,0,0,0
120,0,0,3.33,0,0,12.19,1.21,0,57.02,4.07,0,24.13,0,3.57,14.57,0,0,0,0,0,0,0,0,0
