stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,114.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.56,0,0,0,0,0,0,0,0,0
  5-6,6.19,185.71,0,0,0,0,0,0,0,0,0,0,0,0,25.28,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0
  7-9,7.9,0,0,0,0,12.44,0,0,0,0,0,0,0,0,234.48,0,0,0,69.66,8.28,0,0,0,0,0,0,0,0,0
 10-12,0,13.74,0,0,0,5.55,0,0,0,0,0,0,0,0,168.75,0,0,0,59.79,0,4.75,7.42,0,0,0,0,0,0,0
 14-21,0,0,0,4.75,0.92,4.98,0,0,0,0,0,8.75,0,1.17,30.48,0.82,0.85,0,0,0,1.98,0,2.83,6.48,0,0,0,0,0
 24-34,0,0,0.86,0,0.67,3.62,0,0,0,0,0,2.44,0,1.89,50.93,0,0,0,0,2.39,0,0,0,8.11,0,0,0,0,0.63
 36-46,0,0,0,0,0,6.83,0,7.62,1.33,0,0,13.68,0,1.1,27.87,0,0,4.54,0,0,0,0,0,10.89,0,0,0,0,0
 48-58,0,0,0,0,0,8.48,2.15,19.34,0,0,0,20.55,0.4,0.4,71.91,0,0.5,0,0,0,0,0,0,16.14,0,0,0.66,0,0
 60-70,0,0,0,5.1,0,20.64,0,3.24,0,0,0,14.61,0,0,22.45,0,0,0,0,0,0,0,0,1.59,0,0,0.68,0,0
 72-82,0,0,0,0.68,0,4.55,0.51,6.66,0,3.9,0,35.13,0,0.62,44.42,0,0.49,0,0,0,0,0,0,2.06,0,0.52,0,1.16,0
 84-94,0,0,0,0.68,0.83,1.35,1.18,5.14,0,0,0,11.95,0,0,10.48,0,0,0,0,1.17,0,0,0,6.72,0.66,0,2.24,0,0
 96-106,0,0,0,1.35,0,0,1.52,12.19,0,1.61,6.67,25.94,0,0,16.62,0,0,0.75,0,1.52,0,0,0,0,0,0,0.92,1.34,0
108-118,0,0,0,1.07,0.61,4.6,1.47,2.03,0,0,0,9.52,0,0,27.56,0,0,0,0,0,0,0,0,2.32,0,0,0,0,0
120,0,0,0,0,0,27.41,8.03,4.94,0,0,0,22.49,0,1.11,83.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
