stage,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle
  3-4,9.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,11.74,0,33.47,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.07,0,0.85,0.97,0,0,0,2.9,3.4,1.56,0
 24-34,0,0.98,0,0,0,0,0.67,0,0,0,4.24,0,0.68,8.32,1.16,0,0.95,0,0,3.97,0
 36-46,0,0,0,0,0,0,0,0,0,0,9.37,1.12,1.23,11.88,0,0,0.83,0,0,0,0
 48-58,0,0,0,0,0,0.45,0,0,0,0,4.92,0,0,2.93,0.54,0,0,0,0,3.62,0.91
 60-70,0,0,0,0,0,0,4.48,0,0,0,12.54,0.62,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,5.51,0,0,2.73,8.63,0,0.6,14.57,1.9,0,0,0,0,2.02,0
 84-94,0,0,3.34,0,0,0,0.99,0,0.81,0,1.57,0,0.72,3.27,0,0,0,0,0,1.63,0
 96-106,0,0,0,1.64,1,0,1.36,0,6.37,0,6.68,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,1.35,0,0,0,1.74,0,0,3.57,0,0,0,0,0,0,0
120,0,1.96,0,0,0,0,12.8,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0
