stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,31.17,4.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.48,79.17,0,0,371.4,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,38.95,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.71,46,0,0,227.48,0,0,0,0,10.81,0,0,0,0,0,0,0
 14-21,0,0,1.32,21.64,10.77,0.81,0,0,0,11.76,1.19,0,0,0,0,0,31.83,0,0,38.95,34.98,26.33,0,0,0.84,0,3.74,1.54,22.97,0.86,20.97,133.05,0,0,8.3,0,0
 24-34,0,0,1.36,14.32,0,2.01,0,0.7,0.63,21.89,1,0,0,0,3.35,0,28.54,0,0,38.27,88.02,10.61,0,0,0,0,7.33,0,1.1,0,3.61,186.06,0,0,26.88,0,1.52
 36-46,0,0,0,6.59,7.25,3.22,0,0,0.82,11.6,0,0,0,0,2.68,0,23.84,0,2.7,10.75,82.33,1.31,0,0,0,0,1.41,0,0,1.06,0,180.1,0,0,12.05,0,0
 48-58,0,0,0,4.09,0,4.48,0,0,0,16.97,0,0,0.58,0.61,0,0,26.11,0,3.46,11.13,95.99,0,0,0,0,0,0,0,0,0,0,139.15,0,0.44,5.4,0,0.53
 60-70,0,0,0,3.32,0,3.33,0,0,0,33.97,0,0,0,0,0,0,29.76,0,2.07,1.71,43.76,0,0,0,0,0,0,0,0,0,0,76.4,0,2.94,17.12,0.89,0
 72-82,0,0,0,3.5,1.02,3.07,1.52,0,0.55,67.71,0,0,0,3.54,0,0,26.73,0,3.37,3.36,35.01,0,0,0,0,0,0,0,0,0,0,16.52,0.74,3.49,24.34,2.96,0
 84-94,0,0,0,10.33,0,6.65,0,0,0,36.77,0,0.7,0,0,0,0,21.7,0,3.91,2.02,52.86,0.9,0,0,0,0,0,0,0,0,0,12.51,0.66,7.01,33.5,3.09,1.5
 96-106,0,0,0,4.1,0,5.39,0,0,0,55.82,2.24,1.55,0,5,0,0,20.13,1.8,3.48,3.55,31.49,0,0,0.61,0,0,0,0,0,0,0,0.6,0,2.29,57.58,9.04,3.47
108-118,0,0,0,6.98,0,0.57,1.38,0.57,0,30.21,1.91,0,0,4.3,0,2.16,16.06,0.94,13.57,1.01,34.23,0,1.77,0,0,0,0,0,0,0,0,3.26,6.67,2.52,17.89,2.56,5.18
120,0,0,0,9.55,0,7.37,0,0,0,13.35,1.03,0,0,0,0,0,15.96,0,4.67,7.28,49.84,0,0,0,0,6.67,0,0,0,0,0,0,4.32,8.78,16.41,0,0
