stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,8.28,1.17,5.59,0,0,0,1.5,0,0,0,0,0,0,0,1.17,0,0,1.85,57.32,1.78,0,0,1.76,0,0,2.2,0,0,7.28,28.52,0,0.83,0,0
 24-34,0.65,0.89,0,0,3.49,0,0,0,0,0,0,0,0,0,0,0.9,12.18,0,0,2.6,167.84,0,2.15,2.14,0,0,4.41,0.97,0,0,2.66,33.08,0,3.37,0,0
 36-46,0,0,0.65,0,24.8,0,0,0.63,0,0,0,0,0,0,0,0,15.13,0,0,0.6,204.17,0,0,0.75,0,0,1.59,0,0,0,0,36.89,0,4.44,0,0
 48-58,0,0,1.88,0,50.34,0,0,17.99,0,1.7,0.58,0,0,0,0,0,9.27,0.49,0,3.33,229.98,7.26,0,0,0,0,0,0,0,0,0,34.93,0,0,0,1.43
 60-70,0,0,0,0,60.77,0,0,23.93,0,0,0,0,0,0,0,0,26.31,0,0,1.24,155.76,0,1.42,0,0,0,1.51,0,0,0,0,17.61,0,0,0,0
 72-82,0,0,1.07,0.77,90.73,0,1.83,18.47,1.3,0,0,0,0,0,0,0,24.73,0,3.02,1.33,121.54,0,2.23,1.95,0,0,1.19,0,0,0,0,11.2,1.33,3.97,0,0
 84-94,0,0,0.75,7.51,32.27,4.6,0,6.7,2.77,0,0,0,1.16,0,0,0,25.94,0,0.9,0,81.6,0.94,0.81,3.63,0,0,0.67,0,2.03,0,0,16.13,0,0,0,0
 96-106,0,0,1.13,0,36.46,0,1.09,8,0,0,1,3.4,0.67,0,0,0,14.35,1.8,0,3.15,76.69,1.64,4.31,0.57,0,4.63,3.28,0,0,0,0,8.98,0,5.14,2.87,0
108-118,0,0,1.39,0,47.57,0.99,0.8,27.89,0,0,0,0,0.45,0.57,0,0.63,8.23,0,0,3.55,63.32,0,0,1.46,0,0,6.72,0,0,0,0,5.45,0,0,0,0
120,0,0,0,1.03,35.02,0,1.83,33.72,0,0,0,0,0,0,5.84,0,17.16,0,0,1.81,145.92,0,0,0,0,0,17.21,0,0,1.63,0,9.5,6,2.82,0,0
