stage,blastomeres,eye,glial,neural,olfactory,spinal.cord
  3-4,9.47,0,0,0,0,0
 10-12,0,5.25,0,18.22,0,0
 36-46,0,0,0,0.91,1.21,0
 48-58,0,0,0.77,2.85,0.68,0
 60-70,0,0,0,6.55,0,0
 72-82,0,3.74,0,1.32,0.74,0
 84-94,0,9.88,0,1.98,0,0
 96-106,0,1.55,0,1.38,1.85,0
108-118,0,6.71,3.18,2.09,0,2.21
120,0,2.62,0,5.53,0,0
