stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,164.98,2848.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.76,0,0,0,0,0,0,0,0,0,0
  5-6,147.74,4393.71,0,8.02,0,0,0,0,0,0,0,0,0,11.49,0,0,0,0,0,0,0,0,0,0,0,159.94,0,0,0,27.75,0,152.47,0,0,0,0,0,0,0,0,0,0
  7-9,43.34,71.38,0,80.39,0,0,0,56.86,0,0,0,0,0,19.62,0,0,0,0,0,0,0,0,0,0,0,2031.51,39.09,0,0,711.09,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,27.85,0,50.06,0,0,0,22.55,0,0,0,0,0,4.27,0,0,0,0,0,0,0,0,0,0,7.75,641.31,19.27,0,0,1048.32,0,0,0,0,52.54,0,0,0,0,0,0,0
 14-21,0,2.29,0,14.01,216.13,245.63,0,46.64,0,24.21,0,3.71,10.09,0,14.67,0,0,0,1.67,0,1.25,147.8,1.03,0,207.73,265.22,5.78,0,11.88,3.99,0,5.64,0.9,301.87,1.22,37.42,617.62,92.53,0,166.52,0,0
 24-34,0,0,0.66,1.2,105.38,53.51,0,21.88,0,68.58,33.73,3.78,6.31,0,10.83,0,0.63,2.86,13.73,0.66,0,356.14,0,2.43,175.54,233.87,4.58,1.44,12.54,0,0,1.42,0,0,1.64,19.23,155.19,31.13,0,404.61,0,1.87
 36-46,0,0,0,0,17.79,14.84,0,86.5,2.14,26.26,45.59,2.88,0.95,0,8.07,0,0,3.69,5.43,1.07,0,351.02,0,28.55,107.15,141.74,3.56,1.68,6.94,0,0,2.61,0.81,3.04,21.96,24.73,0.83,20.94,0,139.76,0,0
 48-58,0,0,0,0,19.07,7.53,0,198.07,4.62,23.22,54.36,2.61,3.21,0,10.09,0,0,0,1.59,0.39,0,242.31,1.1,21.17,57.09,140.06,0,0,3.27,0,2.21,0.46,0,0,7.17,7.72,0,19.68,1.58,75.93,1.28,1.34
 60-70,0,0,0,0,15.09,0,0,217.44,1.28,15.09,82.57,0.6,1.9,0,9.75,3.66,0,4.47,5.6,0,0,228.15,0,29.97,39.37,112.83,1.86,0,2.48,0,1.88,4.56,0,0,0,14.6,0,13.62,0,89.66,4.23,0
 72-82,0,0,0,0,4.28,0,0,273.09,4.16,5.27,55.37,8.56,1.78,0,2.22,5.49,0,0,5.77,0,0,169.4,0,16.86,33.72,81.52,1,0,1.27,2.25,0,0,0,0,1.17,2.19,0,2.41,2.08,131.59,0.74,3.65
 84-94,0,0,0,0,8.33,0,0.6,174.09,1.78,5.16,50.84,7.98,1.73,0,1.83,0.62,1.5,2.24,4.51,0,0,154.03,0,28.66,27.45,45.16,4.96,0,0.95,0,0,1.76,0,0,0.57,2.1,0,13.64,0.88,125.97,0,10.68
 96-106,0,0,0,0,11.57,0,1.67,168.88,6.68,14.82,50.92,17.41,2.73,0,4.44,0,0,1.8,0,10.14,0,97.09,0,5.71,22.17,41.19,0.64,0.56,9.76,0,0.79,0,0,0,1.35,2.3,0,0,5.36,140.14,10.81,1.41
108-118,0,0,1.78,0,7.34,0.76,16.19,265.56,2.4,8.44,28.3,13.95,5.33,0,0,1.3,0,4.71,0.87,0.68,0,118.2,1.38,4.93,20.69,69.01,4.45,0,6.18,0,2.27,0.64,0,0,4.6,12.35,0,6.27,0,73.56,12.68,3.47
120,0,0,7.01,0,23.83,1,3.6,227.88,4.23,17.33,39.77,47.43,16.34,0,13.62,0,0,6.83,0,0,0,146.62,0,37.29,14.86,162.89,1.62,0,12.38,0,0,0,0,0,2.12,3.75,0,0,0,182.12,6.37,0
