stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,1.67,135.02,9.83,0,27.22,0,0,0,3.94,0.85,0,1.15,0,0.81,0,0,1.16,0.94,51.2,0,0,35.37,253.28,7.3,0,2.83,5.94,0,13.43,0,35.11,1.22,2.89,43.6,73.86,0,0,0.91,0,0
 24-34,0.88,16.67,47.5,142.04,21.53,0,112.55,9.03,6.93,0.68,53.04,19.99,0,16.15,2.18,23.5,1.32,8.9,26.76,13.71,235.73,2.41,2.43,178.91,1779.66,70.18,14.96,11.93,0,0,190.51,0,4.02,72.58,40.66,111.65,674.71,0,0,106.01,0,26.57
 36-46,0,5.94,0,43.07,0.58,0,144.02,23.69,5.35,7.64,81.66,1.64,1.6,3.99,10.4,27.22,12.25,3.79,26.71,7.42,235.44,5.16,0.98,74.65,910.01,81.11,2.42,8.41,0,0,335.55,1.98,3.29,106.62,16.88,3.09,290.38,0,0,80.28,0,13.25
 48-58,0,0,0,28.34,1.56,0,101.83,5.3,4.31,4.7,72.57,6.27,0.78,0.69,1.28,6.96,3.41,1.69,7.17,4.92,103.36,5.28,0,19.36,362.91,2.71,1.2,5.8,0,0,72.12,0,0,9.56,4.51,0,67.36,0,0.85,18.63,0,1.94
 60-70,0,2.41,0,46.29,5.49,0,211.3,0,9.69,7.25,121.54,13.83,0.66,0,3.5,4.22,11.46,0,10.42,3.19,160.72,0,14,14.41,267.99,1.35,0.74,11.68,0,3.93,51.19,0,0,14.58,1.08,0,36.4,0,4.64,20.39,1.54,2.83
 72-82,0,2.46,0,4.24,7.96,0,59.69,0,0.81,16,70.84,14.49,0,1.04,6.03,8.57,0.55,0,1.99,16.24,93.74,0,0.63,10.82,142.12,0.66,1.84,11.47,0,4.68,12.87,0,0,11.49,0,0,17.2,1.36,1.07,16.3,1.2,25.99
 84-94,0,2.72,1.04,17.59,8.46,0,71.16,0.91,4.6,3.6,60.97,22.5,0.6,0.97,14.03,5.06,2.3,0,10.28,3.13,48.1,2.57,1.03,9.19,63.42,0,1.05,9.09,0,0,59.75,0,0,10.89,0,0,19.79,4.95,0.9,30.85,2.5,0
 96-106,0,5.36,0,12.81,21.05,0,72.89,0,1.59,0.75,80.07,15.69,0,0.8,16.21,9.87,2,1.15,18.28,0,39.81,8.22,1.24,3.74,51.01,0.7,3.64,12.94,0,2.22,34.39,0,0,5.99,0,0,17.16,7.35,8.61,18.55,1.51,4.56
108-118,0,5.25,1.8,14.12,33.02,2.81,52.1,0,4.1,1.64,68.57,28.88,2.74,0,10.13,8.81,2.73,2.28,18.97,3.66,59.65,1.15,6.06,2.74,74.73,0,2.63,7.61,0,4.6,20.18,0,0,17.91,0,0,5,5.2,0,16.76,3.47,0.52
120,0,0,1.28,30.31,33.79,4.18,46.98,0,1.03,1.49,82.74,21.6,0,0,23.35,4.15,7.62,5.88,38.08,0,82.56,3.49,0,13.08,153.66,2.48,0,17.17,0,0,23.86,0,0,0,0,0,13.08,3.51,0,50.02,10.35,0
