stage,endoderm,epidermis,eye,fin.mesenchyme,glial,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  7-9,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,6.23,0,0,0,0,0,0,0
 10-12,0,0,6.65,0,0,0,0,0,0,0,0,0,33.31,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,0,0,2.67,0,0,0,0,0.96,0,0,19.74,1.04,0,0,0,5.14,1.84,0,1.14,4.93,0
 24-34,0,0,2.22,0,0.69,0,0,0,0,2.41,0,1.58,9.28,0,0.64,0,0,0,0,0,0,1.27,0
 36-46,0,0,3.8,0,3.35,0,0,0,0,1.91,0,2.87,18.38,0.75,0.61,0,0,0,0,0.7,0,10.75,1.23
 48-58,0,2.81,5.22,0,6.45,0,0,0,0.43,0.89,0,0,17.8,0,0,0,0,0,0,0,0,2.74,0.41
 60-70,0,0.76,7.97,0,4.04,0,0,0,0,0.76,0,2.76,27.08,0,0,0,1.89,0,0,0,0,5.29,0
 72-82,0,0,15.59,0,3.49,0,0,0,0,0,0,0.85,24.28,0,0,0,0,0,0,0,0,1.31,1.1
 84-94,1.01,0,10.58,0.67,3.76,0,0.75,0,0,5.03,0,1.04,8.06,0,0,0,1.41,0,0,0,0,4.21,0
 96-106,0,0,4.88,0,5.01,0,1.36,0,0,2.3,0,0,20.5,0,0,0,0,0,0,0,0,3.94,0
108-118,0,0,0,0,1.2,0,0,1.21,0.81,4.03,1.96,1.41,16.33,0,0,0,1.34,0,0,0,0,0,0
120,0,0,5.36,0,11.31,0,0,0,0,8.1,0,0,15.23,0,8.58,0,0,0,0,0,0,0,0
