stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,44.5,605.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.92,0,0,0,0,0
  5-6,54.38,381.11,0,0,0,0,0,0,0,0,0,0,0,0,9.19,0,0,0,0,0,0,0,0,0
  7-9,14.05,11.82,6.55,0,0,3.69,0,0,4.05,0,0,0,0,0,137.47,18.91,0,43.13,0,0,0,0,0,0
 10-12,0,0,0,0,0,12.33,0,0,0,0,0,0,0,0,35.92,8.31,0,3.08,0,0,0,0,0,0
 14-21,0,0,0,2.27,0,3.38,2.04,0,0,0,0,0,0,1.11,27.16,0,0,0,0,0.9,2.03,0,6.05,0
 24-34,0,0,0,2.72,0,0.98,0,0,0,0,6.69,0.77,0,0,16.26,0,0,0,1.83,0,0,0.75,5.84,0
 36-46,0,0,0,0.56,0,1.2,0,0,0,0,0,0.7,0,0,25.67,0,0,0,0,0,0,0,2.26,0
 48-58,0,0,0,0,0,2.32,0.91,0,0,0,0,1.3,0,0,15.16,0,0,0,0,0,0,0,1.81,0
 60-70,0,0,0,0.72,0,8.46,0,0,0,0,0,5.44,0,0,8.73,0,0,0,0,0,0,0,1.5,0
 72-82,0,0,0,0,0,41.78,7.32,1.3,0,1.06,0,2.98,0,0.59,13.18,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.07,14.71,6.88,0,0,0,0,0,0,0,13.94,0,0,0,0,0,0,0,0,0.66
 96-106,0,0,0,0,6.45,30.74,0,0,0,0,0,0,1.14,0,11.3,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,55.88,3.21,0,0,0,0,1.96,0,1.56,1.48,0,0.83,0,0,0,0,0,0,0
120,0,0,0,0,0,10.98,8.14,0,0,0,0,6.67,0,0,17.3,0,0,0,0,0,0,0,0,0
