stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.68,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.59,0,0,0,4.82,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,5.31,0,0,0,0,0,0,0,0,6.85,0,0,0,0,0,0,0,0,0,1.76,0,0
 24-34,0,0,0,1.04,0,0,0,0,0,0,0,0,20.48,0,0,0,0,1.7,4.38,0,0.95,34.4,0,0,0,0,0,0,0,4.38,0,1.52,0,1.68
 36-46,0,0,0,0,0,0,0,0,0,0.59,0,0,53.67,0,0,0,0,0,25.06,0,0.64,46.69,0.73,0,0,0,0,0.56,0,9.58,0,7.58,0,4.23
 48-58,0,0,1.06,1.56,0,12.17,0,0,0,7.32,0,0,70.92,6.73,6.19,0,1.13,0,230.41,0,5.02,99.13,0.39,0,0,0,0,2.56,0,3.93,0,6.56,0,57.71
 60-70,0,0,1.01,0,0,23.11,0,0.94,0,6.57,0,0,75.03,0.58,1.3,2.56,0,0,523.83,0,0,96.5,0,0,2.43,0,0.82,0,0,12.77,5.6,4.4,0,28
 72-82,0,0,3.02,0,0,20.11,0,0,5.63,14.7,0,0,65.88,0,1.29,0,0,0,521.63,0,0.84,119.02,0,0,1.04,0,0,0.55,1.18,17.05,1.98,8.17,2.6,18.72
 84-94,0,0,3.74,2.16,0,27.63,2.08,0,0,12.98,0.73,0,101,0.71,1.56,0,0,28.71,547.92,1.89,0.58,60.7,0,0,1.29,0,0,1.24,0,5.53,2.42,15.32,0,9.59
 96-106,0,1.41,1.71,3.59,0.97,14.73,2.97,0,0,13.51,1.18,0.66,146.56,0.78,12.35,0.63,0,0.79,212.66,0,0,106.46,0,3.84,4.36,0,0,0,0,8.16,0.93,10.45,0,21.67
108-118,0,4.9,0,1.13,0.72,23.78,0.42,3.85,6.03,15.51,0,0,120.85,0,20.72,1.36,0,0.47,166.49,1.38,0,67.79,0,0,8.59,0,0,0.43,0,8.64,0,12.7,0,41.3
120,0,0,4.26,1.56,0,21.28,1.25,0,3.03,8.12,0,0,161.16,0,10.09,8.09,0,9.24,319.38,2.08,0,63.58,0,0,1.86,0,7.72,0,0,0,0,16.6,0,21.41
