stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
 14-21,0,0,2.66,1.02,0,1.83,0,2.14,0,0,0,0,0,0,0.83,0,5.32,74.73,0,0,0.98,1.99,0,2.42,5.23,0.84,22.27,0,0,0
 24-34,0,0.59,1.46,0,0,3.29,0,0,1.01,0,0,0,0,0,3.68,0,0,76.68,0,0.75,1.57,0,0,10.01,0,0,10.19,0,0,0
 36-46,0,0,1.07,0,0,12.48,0.62,0,0,0,0.98,4.73,0,0,4.07,0,0,71.84,0,1.1,0,0,0,7.79,0,0,4.03,0,0,0
 48-58,0,0,1.1,0,0,26.46,0,11.47,0,0,0,0,0,0,12.37,0,0.42,109.67,0,5.46,4.88,0,0,1.82,0,0,16.93,0,0,0
 60-70,0,0,0,0,0,38.85,0,4.06,0.95,0,0,0,0,0,14.16,0,0.63,69.99,0,2.67,1.03,0,0,0,0,0,6.13,0,0,0
 72-82,0.58,0,0,3.69,0.76,43.41,0,3.41,0,0,0.67,0,0,0,8.13,0,0.81,50.13,0,2.63,2.99,0,0,0,0,0,4.8,0,0.55,0
 84-94,0,0,4.4,0,0,23.72,0,4.43,0,0,0,0,1.31,5.41,4.91,0,2.14,90.87,0,8.78,0,0,0,15.57,0,0,11.49,0,9.08,0
 96-106,2.16,0,2.49,13.61,0,29.72,0,5.09,0,1.46,2.29,0,0,0,8.1,0,0,57.93,0,6.26,1.3,0,1.61,1.5,0,0,1.45,0.82,0,1.03
108-118,0,0,1.93,0,0,30.03,0.59,9.51,1.45,0,0.98,0,0,0,12.31,6.69,0,78.05,1.29,3.17,0,0,0,2,0,0,3.93,3.18,7.52,0
120,0,0,5.78,1.3,0,38.38,0,13.82,0,0,0,0,0,0,7.48,0,1.2,134.1,0,0,0,0,0,6.34,0,0,2.54,0,0,0
