stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,47.44,376.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.64,0,0,0,0,0,0,0,0,0
  5-6,6.93,766.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.58,0,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.92,6.33,71.56,0,0,16.8,0,0,0,0,11.94,0,0,0,0,0,0,0,0,0,490.01,0,0,0,223.05,0,0,0,12.75,0,0,0,0,0,0,0
 10-12,0,29.53,226.4,0,18.48,11.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514.76,3.39,0,0,204.28,0,0,0,195.25,0,0,0,0,0,0,0
 14-21,0,0,4,156.92,12.59,0,0,0,0,8.09,1.18,4.91,0,1.04,0,0,0,147.64,0,46.39,71.4,0,1.07,0,3.26,0,6.08,27.69,2.37,1.81,3.42,0,0,0,0,0
 24-34,0,0,8.51,37.67,0.78,9.51,0,0,0,11.98,0,2.81,0,0,0,0,2.51,118.34,1.63,18.69,49.33,0,2.35,4.28,0,7.64,3.02,0,0.93,2,5.02,0,0,1.42,0,0
 36-46,0,0,0,14.28,0,0,0,1.46,2.96,3.18,0,4.69,0,0,0,0,9.72,47.22,2.52,4.03,26.43,0,0,2.22,0,4.2,0,0,0,0,4.52,0,0.85,2.68,0,0
 48-58,0,0,0.44,8.16,0,0.9,0.5,0,0,10.37,0,1.78,0,2.75,0,0.39,4.94,33.96,7.68,2.22,33.24,0,0,2.98,0,1.12,0,0,0,0,0.95,0,0,0,0.9,1.18
 60-70,0,0,0,9.18,0,10.79,0,0,2.06,0,0,0,0,0,0,0,9.09,27.8,0.67,0.59,24.51,0,0,1.49,0,0,0,0,0,0,1.05,0,0,0,3.65,0
 72-82,0,0,0,0,0,0.66,0,7.76,2.44,0,0,0,0.55,0,0,0,0,5.54,2.77,0.5,6.43,0,1.67,0,0,1.03,1.2,0,0,0,0,0.62,0,0,0,0
 84-94,0,0,0,0.66,0,0.8,0,0,0,0.95,0,0,0,0,0,0,0,2.76,0,0,12.36,0,2.57,1.17,0,0,0.59,0,0.56,0,0,0,0,0,0.78,0
 96-106,0,0,0,1.89,0,9.3,0,0,8.77,0,0,0,0,0,0,0,0,0,0,0,5.14,0,2.25,0.85,0,0,0,0,0,0,0,0,0,6.95,0,0
108-118,0,0,0,0,0,1.52,0,3.21,6.23,0,0,0,0,0,2.84,0,0,0,0.49,0,2.56,0,0,0,0,0,0,0,0,0,0,0,0.82,0,2.83,1.72
120,0,0,0,2.52,0,0,0,0,2.01,1.69,0,0,1.31,0,0,0,3.16,0,0,0,7.02,0,2.2,2.74,0,0,0,0,0,0,0,0,0,0,0,0
