stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord
  3-4,0,11.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.31,52.09,0,0,0,0,11.6,0,0,0,0,0,43.38,0,0,0,0,0,0
  7-9,11.77,0,8.73,0,0,0,0,0,0,0,0,0,24.77,8.62,0,49.27,0,0,0
 10-12,0,0,6.82,0,0,0,0,0,0,0,0,0,14.37,5.94,0,12.55,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,8.69,1.25,0,1.06,0,2.15,5.5
 24-34,0,0,0,1.97,0,0,0,0,0,0.66,0,0,4.7,0,0,0,0,0,0
 36-46,0,0,0,0,0,0.57,0,0,0,0,0,0,6.53,0,0,0,1.9,0,2.3
 48-58,0,0,0,0,0.4,2.5,0,0,3.8,0,0,0.42,7.92,0,0,0,0,0,1.05
 60-70,0,0,0,0,0,0,0,0,0,0,2.3,0,1.72,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.57,0,0.6,0,0,0,0,4.87,0,1.37,0,0,0,0
 84-94,0,0,0,0,1.36,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0.58,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0,0,0,0,0,0
