stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.25,0,0,0,0,0,0,0
  7-9,0,39.17,0,0,0,0,0,0,0,3.97,0,0,0,0,0,0,0,0,24.49,0,0,0,4.5,0,0,0,0,0,0,0,0,0
 10-12,0,5.05,0,4.95,5.49,0,0,0,0,0,0,0,0,0,0,0,0,0,34.97,0,0,0,51.93,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.99,11.93,0,0,0,0,4.07,0,0,0,0,0,4.39,0,0,2.3,18.14,2.16,0,0,3.1,0,0,1.74,0,25.68,0,0,1.2,0
 24-34,0,0.79,8.85,0.66,7.84,0,0,0,0,0,6.19,0,0.91,0,7.37,0,0,5.28,164.32,0,7,0,0,0,9.36,0,0.98,103.34,0,0,20.75,0
 36-46,0,0,20.05,10.47,3.71,0,0,1.54,0,0,2.44,0,0,0,3.42,0,0,3.84,399.95,0,2.14,0,0,0,2.6,0,0,103.98,0,0,17.25,0
 48-58,0,0,0,0,49.03,0,0.81,8.28,0,0,1.48,4.27,3.61,0,10.93,0,0.79,1.53,715.56,0,4.64,0.39,0,0,3.74,0,0,65.37,0,0.89,16.91,0
 60-70,0,0,4.68,0,138.97,0,0,0,0,0,0.75,1.42,0.58,0,11.16,4.53,0,0.72,742.45,2.75,3.91,1.18,0,0,1.28,0,0,108.67,0,0,0.88,0
 72-82,1.66,0,5.89,0,191.43,0,0,24.16,0,0,1.73,1.28,0.65,1.62,30.38,0,1.43,0,894.27,0,2.92,1.29,0,1.82,0.53,0,0,84.54,0,0.67,13.36,2.96
 84-94,1.29,0,13.23,3.84,194.66,0.55,1.05,15.2,0,0,1,1.6,4.19,0,24.96,0,6.07,3.79,623.93,0,0.7,0,0,1.49,0,0,0,51.52,0,0,27.8,1.09
 96-106,0,0,5.76,0,156.94,0,2.8,37.3,2.08,0,1.16,0.58,1.25,1.14,24.14,0,0.57,0,609.21,0,0.84,3.14,0,4.39,9.13,0,0,35.98,0,0,5.07,2.81
108-118,0.76,0,2.44,1.1,174.89,0,0,24.02,0,0,1.3,1.02,5.01,0,6.01,1.08,0,0,616.52,0,0,4.65,0,1.97,1.18,0,0,20.2,0.68,0.56,18.18,0.68
120,0,0,17.77,8.51,272.04,10.7,0,33.22,0,0,0,0,7.76,0,84.14,0,0,1.93,1299.07,0,23.78,1.4,0,0,1.1,0,0,28.13,0,5.4,15.34,7.07
