stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,mesenchyme,neural,olfactory,otic,periderm,spinal.cord
  3-4,21.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.12,7.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.52,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.29,0,0,1.96,0,0,4.06,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83,0,0,2.7,0
 48-58,0,0,0,0,1.09,0,0,0,0,0,0,0,0,8.48,0.6,0,5.39,0.88
 60-70,0,0,0,0,2.43,0,0,1.46,0,1.01,0,0,3.16,7.63,0.84,0,0.66,1.99
 72-82,0,0,0,0,7.09,0,0.51,1,0,0,0,0,0,27.48,3.37,0,0,0
 84-94,0,0,0,5.06,15.52,0,0,0,0.91,0,0,0,1.1,11.63,3.46,0,2.86,1.95
 96-106,0,0,0,0,10.12,0.63,0,0,0,1.43,0,0,0,42.36,0,0.6,8.14,2.54
108-118,0,0,0,0,17.4,0,0,0.86,0,0,0,1.15,0,46.38,0,0,3.08,0
120,0,0,0,0,17.44,0,0,14.9,0,0,0,0,0,62.46,0,0,4.47,0
