stage,axial,blastomeres,epidermis,eye,fin.epithelia,glial,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,periderm,spinal.cord
  3-4,0,71.92,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.67,33.46,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,7.53,0,0
 14-21,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.28,0,5.93,15.99,0
 36-46,0,0,0.57,0,0,0,0,0,0,0,0,3.76,49.95,0
 48-58,0,0,0.39,1.26,0,0,0,0,0,0,0,6.47,33.22,2.56
 60-70,0,0,13.87,6.71,0,0,0,0,0,0,0,1.48,14.72,0
 72-82,0,0,1.53,6.97,0,1.31,0,0,0,1.33,0,7,6.72,0
 84-94,0,0,22.39,4.17,0,0,0,0.58,0,0,0,0,14.02,0
 96-106,0,0,3.72,36.33,0,0,0,0,0,0,1.95,4.8,22.99,0
108-118,0,0,14.37,27.9,1.04,0,0,0,0.76,0,0.53,6.39,22.04,0
120,0,0,10.76,9.72,1.73,3.99,3.53,0,3.68,0,0,0,3.6,0
