stage,blastomeres,exocrine.pancreas,eye,glial,melanocytes,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,pericytes,pronephros,visceral.smooth.muscle
  3-4,11.28,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,4.98,0,0,0
 14-21,0,0,0,0,0,0,0,0.88,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.67,0,0,0,0,0
 36-46,0,0,1.02,0,7,0,0,0,1.29,0,0,0,0
 48-58,0,0,0,0,0,0.5,0,0,0,0,0,0,0
 72-82,0,0,0.53,0,0,0,1.17,0,0,0,0,0,0
 84-94,0,0.76,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,7.12,0,0,1.3,0,0,0,0,0,0,0.75
108-118,0,2.29,0.79,0,0.58,0.79,0,0,2.48,0,0,0,0
120,0,9.88,0,4.47,0,0,0,0,0,0,1.79,1.14,0
