stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,taste
  3-4,0,53.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,34.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.27,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,12.53,0,0,0,16.58,0,0,0,0,0
 10-12,0,0,3.13,0,0,0,0,0,0,0,0,3.11,0,0,0,0,0,0,26.48,0,0,0,15.62,0,0,0,0,0
 14-21,0,0,0,0.95,1.09,0,0,0,0,0,0,0,0,0,0,0,0,2.25,8.11,0,3.67,0,0,0,23.72,51.14,0,0
 24-34,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.33,0,75.46,0,0,0,1.37,0,3.05,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,20.51,0,56.76,0,0,0,0,0,0,0
 48-58,0,0,0,1.28,0,0,2.44,1.97,0,0,1.61,0,0,0,0,0,0,0,24.99,0,52.83,0,0,0,0,0,1.13,0
 60-70,0,0,0,0,0,0,21.66,0,0,0,0,0,0.87,0,0,0,0,0,25.79,0,23.75,0,0,0,0,0,3.57,0
 72-82,0,0,0,0,0,0,57.39,0,0,0,0,0,0,50.37,1.7,3.06,8.97,1.7,40.24,0,131.8,1.14,0,0,0,0,3.79,0
 84-94,0,0,0,0,0,0,19.12,0,0,2.61,1.2,0,0,111.76,0,0,0.87,0.83,32.66,0,52.72,1.13,0,4.89,0,0,8.22,0
 96-106,0,0,0,11.3,0,0.97,31.19,0.71,2.65,0,0,0,0,285.09,0,1.24,12.51,0,77.09,0,93.2,13.27,0,2.3,0,0,10.7,0
108-118,0,0,0,0.66,0,0,26.88,0,0,0,6.28,0,0,354.96,0,0,3,0,117.44,0.47,65.48,6.01,0,0,0,0,5.16,1.6
120,0,0,0,0,2.53,0,3.86,0,0,0,5.28,0,0,444.64,0,0,3.69,0,77.25,0,59.89,23.61,0,0,0,0,0,0
