stage,epidermis,eye,glial,iridophores,mesenchyme,neural,periderm,pronephros,spinal.cord,vasculature
 14-21,0,0,0,0,0,9.21,0,0,0,0
 24-34,0,0,0,0,0,0.85,0,1.79,0,0
 36-46,0,0,1.97,0,0,3.42,0,0,0,0
 48-58,0,2.43,0,2.79,0,0,0,0,0.89,0
 60-70,0,0,0,0,0.64,1.08,0,0,0,2.26
 72-82,0.58,0,0,0,0,0,0,0,0,0
 84-94,0,1.4,0,0,0,0,0,0,0,0
 96-106,0,0,1.38,0,0.64,0,1.21,0,0,0
108-118,0,0,0,0,0,1.45,0,0,0,0
