stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,ionocyte,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  5-6,12.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.69,0,3.61,0,0,0,0,0
 14-21,0,0,2.31,0,0,0,0,0,0,0,0,1.42,0,0,5.69,0,0,0,0,0,0,0,0
 24-34,0,0,0.72,0,0.69,0,1.61,0,0,0,0,1.43,0,0,19.77,0,0,0,4.35,0.66,2.1,0,0
 36-46,0,0,0,0,1.67,0,0,1.31,0,0,0,2.64,0,0,42.81,0,0,0,8.13,0,5.82,0,0
 48-58,0,0,3.59,0,1.51,0.67,0,0,1.54,0.42,0,0.83,0,1.9,34.19,0,0,0,32.19,0,1.57,0,0
 60-70,0,0,0,0,16.72,0,0,2.61,0,0,0,2.94,0,0,53.1,0,0,0,9.29,0,3.53,0.71,0
 72-82,0,0,0,0,5.1,0,0.8,0.78,2.37,0,0,2.68,1.8,0,39.72,0,0,0,3.41,0,0,0,0
 84-94,0,0,0.95,0,5.02,0,0,2.51,4.33,0,0.83,1.39,0.89,0,8.32,0,0,0,5.8,0,0,0,0
 96-106,0,2.06,0,2.92,7.33,0,1.74,2.54,1.28,1.61,0,0,0,0,4.32,0,0,0,8.66,0,0,0,0
108-118,0,0,1.27,0,3.11,0,0,0,1.1,0,0,1.64,1.04,0,26.37,0,1.47,0,4.21,0,0,0,1.72
120,0,0,12.38,0,8.98,0,0,0,2.62,0,0,0,0,0,18.3,0,0,0,0,0,0,0,0
