stage,eye,fast_muscle,fin_mesenchyme,immune,liver,neural,otic,periderm
 24-34,0,0,0,0,0,1.4,0,0
 48-58,0,0,0,0,0,6.56,0,0
 60-70,4.16,3.1,0,0,0,0,0,0
 72-82,4.47,0,0.62,0,0,8.61,0,0
 84-94,7.31,0,0,0,0,3.48,0,0
 96-106,57.04,0,0,0,0.72,0,0,0
108-118,43.8,0,0,1.49,4.95,0,6.75,0.43
120,0,0,0,0,2.53,0,0,0
