stage,epidermis,eye,fast_muscle,fin_epithelia,immune,ionocyte,mesenchyme,mucous,neural,periderm,vasculature,xanthophores
 14-21,0,0,0,0,2.44,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.62,0,0,0,0,0,0,0
 36-46,0,0,0,0,4.12,0,0,0,0,0,0,1.8
 48-58,0,0,0,0,4.15,0,0,0,0.82,0,0,5.97
 60-70,0,1.45,0,0,2.37,0,0,0,0,0,0,0.96
 72-82,0,0,0,0,1.21,0,0,0,2.97,0.84,0,0
 84-94,1.4,0,0,0,17.7,0,0,0,0,2.25,0,0.73
 96-106,0.56,0,0,0,3.51,0,0,2.26,0,7.77,0,0
108-118,8.27,0,0.76,0.54,6.61,7.1,2.3,0.81,0,44.73,1.11,0
120,0,0,0,0,19.61,0,0,0,0,11.42,0,0
