stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,78.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,25.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.14,0,0,0,11.36,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.44,0,0,0,38.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296.84,0,0,0,19.55,4.05,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.97,0.93,27.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,210.39,0,6.43,4.37,0,4.49,1.31,5.44,0,0,25.7,86.09,0,0,4.32,0,0
 24-34,0,0,3.3,1.22,490.36,0,0.72,0.64,0,3.27,0,0,0,1.21,10.05,0,6.99,0,0,0,586.28,0,14.15,6.4,0,6.4,0,0,12.45,0.79,0.62,129.35,0,0,12.6,0,0
 36-46,0,0,1.55,0,2002.01,0,0,11.54,0,0,0,0,0,1.94,0,0,11.54,0,0,0,971.01,0,14.3,8.21,0,4.73,0,0,3.27,0,0,117.72,0,0,4.96,0,8.82
 48-58,0,0,3,0.38,1732.74,0.78,0,30.45,1.07,0,7.22,0.4,0,0.87,0,3.73,24.11,0.37,0.74,2.34,685.84,0.63,2.86,4.03,0,1.06,0,0,1.41,0,0,112.55,0,0.4,3.68,0,0
 60-70,0,0.89,2.16,2.35,840.29,0,0.84,69.06,0,0,0,0,0,1.86,0,0,91.9,3.93,0.99,1.39,288.57,0,3.59,6.72,0,6.87,0,0,0,0,0,38.99,0,0,11.04,0,0
 72-82,0,0.68,5.48,1.38,259.67,0,0,41.56,2.4,0,0,0,0,1.25,0,0,175.87,0,0,2.18,117.57,0,1.63,9.98,0,0,0,0,0.6,0,0,10.34,0.62,0,2.44,0,0
 84-94,0,0,4.2,0,207.31,0,0.74,30.18,3.2,0,6.61,0,0,3.27,0.69,0,173.78,0,0.95,3.12,96.4,0,3.71,12.87,0,1.24,0,0,2.34,0,0,24.29,1.73,0,1.9,0,0
 96-106,0,0,1.51,0.73,127.58,1.25,0,48.63,0.68,0,0,0,0,4.28,0,0,113.8,0,0,1.85,57.81,0,4,10.64,0,8.1,0,0,0.89,0,0,5.64,0,1.51,1.3,0,0
108-118,0,0,1.99,0.94,147.42,0,0,44,0.53,0,3.79,1.61,0.7,4.11,0.89,0,77.65,0,0.46,2.88,130.04,0,0.55,13.13,0,1.94,0,0,3.56,0,0,1.5,0.46,0.54,3,0,0
120,0,0,7.57,1.1,149.62,0,0,113.43,0,0,6.62,0,0,0,3.99,0,166.76,0,0,1.11,134.6,0,0,26.37,0,5.49,0,0,0,0,0,0,0,0,0,1.96,0
