stage,blastomeres,epidermis,exocrine_pancreas,eye,fast_muscle,glial,heart,immune,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  5-6,7.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37,0,0,7.51,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.74,0,0,0,0,0,0,0,0
 14-21,0,1.06,0,0,0,0,1.1,0,0,0,0,0,1.12,4.73,0,0,0,0,8.08,0.9,10.48,27.08,1.99,0,0
 24-34,0,0.85,0,1.14,0,0,0,0,0,0,1.22,2.67,0.6,6.54,0,0,0,0,0,0,0.66,2.48,1.7,0,2.16
 36-46,0,0,0,9.98,0,0,0,0,0,0,0,0,0,6.93,0,0,0,1.05,0,0,0,0,0.71,0,0
 48-58,0,0,0,7.77,0,4.09,0,0,0,0,0,0.8,0,10.76,0,0,0,0.49,0,0,0,0,0.93,0,0
 60-70,0,0,0,34.72,2.88,0,0,0,0,0,0,1.26,0,8.3,0,0.56,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,33.74,0,2.13,0,0,0,0,0,0,0.55,11.25,0,1.29,0,0,0,0,0,0,0.85,0,0
 84-94,0,0,0,34.07,0.75,2.15,0,0,0.89,0,0,2.18,0,13.62,0,0.59,0,1.26,0,0,0,0,0,2.45,0
 96-106,0,0,0.89,60.47,0.78,2.03,0,0.94,0,1.05,0,2.05,0,10.6,0,2.15,0,0,0,0,0,0,0,0,0
108-118,0,0,0,7.86,0,6.17,0,0,0,0,0,1.48,3.65,23.09,3.15,3.35,0,0,0,0,0,0,0,0,0
120,0,0,1.58,33.15,0,2.14,0,0,0,0,0,0,0,1.82,0,3.14,0,0,0,0,0,0,0,0,0
