stage,blastomeres,epidermis,eye,fast.muscle,glial,gut,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,xanthophores
  3-4,41.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,17.77,0,15.09,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,6.05,0
 24-34,0,0,0,0,0,0,0,0,0,15.99,0,0,0,0,0,0.71,0
 36-46,0,0,2.58,0,1.08,0,0.96,0,0,13.9,0,0,0,0,0,0.79,0
 48-58,0,0,4.82,0,0,0,0.42,0,0.37,22.18,0,0,0,0,0,3.61,0
 60-70,0,0,7.68,1.28,1.01,0,3.88,0,0,26.91,0,0,0,0,0,0,1.61
 72-82,0,0,6.72,0,0,0,0,0,0,4.99,0,0,0,0,0,0,0
 84-94,0,0,0,0.67,0,0,0,0,0,19.78,0,0,1.29,0,0,0,0
 96-106,0,0.98,8.5,0.94,0,0,0.64,0,0,15.53,1.94,0,0,0.7,0,0,0
108-118,0,0,4.04,0.54,0,0,5.36,1.13,3.12,3.59,0,0,0,0,0,0,0
120,0,0,0,1.61,0,3.22,0,0,2.7,23.31,0,0,0,0,0,0,0
