stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,17.01,128.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.68,0,0,0,0,0,0,0
  5-6,11.62,137.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.91,0,0,0,0,0,0,0
  7-9,6.62,9.19,25.24,0,0,9.57,0,0,0,0,5.46,0,0,0,0,0,0,178.14,35.75,0,0,118.79,0,0,0,0,0,0,0,0
 10-12,0,11.37,8.04,0,0,11.91,0,0,0,0,13.74,0,0,0,0,0,0,113.94,16.11,0,0,401.35,0,6.41,0,8.85,7.89,0,0,0
 14-21,0,0,0,7.9,0.95,0,0,0,0,0,0,0,0,0,0,0,0,7.65,0,0,0,0,0,0,6.68,0,7.67,1.66,0,0
 24-34,0,0,0,0,0,1.09,0,0,1.51,0,0,0,0.61,3.4,0,0,3.74,25.56,0,0,0,0,0.62,0,0,0,0.75,4.42,2.65,2.31
 36-46,0,0,0,0,0,9.5,5.04,0,0,0.72,0,0,0,1.94,0,0,0,27.84,1.14,2.44,0,0,1.38,0,0,0,0,1.87,0,0
 48-58,0,0,0.43,0.6,0,14.63,4.55,0.55,3.38,0,0,0,0,9.26,0,0,0,17.73,0,0,0,0,4.97,0,0,0,0,3.22,0,0
 60-70,0,0,0,0.58,0,32.9,0.73,0,3.73,0,0,0,0,7.7,0,0,0,49.49,0,0,0.65,0,0,0,0,0,0,3.78,0,0
 72-82,0,0,0,0,0,3.87,0,0,0.61,0,0,0.65,0,2.25,1.42,0,0.97,14.71,0,0,0,0,0,0,0,0,0,1.01,0,0
 84-94,0,0,0,0.7,0,0.7,0,0.67,1.82,0,0,0,0,4.79,0,2.55,0,7.04,0,0,3.29,0,3.69,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0.73,0,0,0,2.52,0,1.86,0,0,1.99,0,0,0,0,0,0,0
108-118,0,0,0,0.82,0,0.48,0,0,1.26,0,0,0.41,0,6.86,0.71,0,0,9.22,0.42,0,0,0,0.62,0,0,0,0,0,0.49,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.54,0,0,0,0,9.11,0,0,0,0,0,0,0,0,0,0,0,0
