stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,gut,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,periderm,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,21.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.68,0,0,0,0,0,0,0,0,0
 14-21,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.93,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22,6.06,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,12.12,0,0,0,0,0,0,0,0,0,0.59,8.09,0,0,8.67,0,0,1,0,0,1.26
 48-58,0,0,0,0,3.6,11.06,0,0,0,0,0,4.96,0.82,0,0,0.58,16.69,0,0,0,0,0,16.86,0,0,0
 60-70,0,0,0,0,5.08,3.78,0.75,0,0,0.59,0,0,2.06,0,2.26,7.55,4.79,0,0,1.33,0,0,1.76,0,0,0
 72-82,0,0,0.84,0,26.08,9.8,0,0,5.98,0,0,0,2.64,0.75,0,3.76,12.55,0,0,0,1.69,0,5.49,0,0,0
 84-94,0,1.36,4.32,0,10.23,12.56,0,0,0,0,0,0,2.17,1.79,0,10.22,14.98,0,0,0.56,0,0,1.92,0,0,0
 96-106,0,1.43,13.18,0,23.96,50.73,2.53,0,0,1.47,0.74,0,7.85,0,1.37,2.62,19.01,0,0,0,0,0,3.48,3.63,0.79,0
108-118,0,1.95,6.96,4.41,6.48,77.96,1.93,0.47,0,0,2.14,0,12.27,0.44,0,16.36,33.24,0.55,0.89,0,0,0,0,0,0,0
120,0,0,0,0,17.67,27.3,0,1.51,0,0,5.66,0,6.99,0,0,14,31.45,0,0,0,0,0,0,0,0,0
