stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.27,0,0,0,17.82,0,0,0,0,0,0,0,0,0,0,0
 14-21,0.87,1.66,0.82,0,0,0,0,0,0,5.4,0,0,0,0,0,0,3.31,0,0,31.62,10.88,0,0,0,0,0,0,2.61,0,288.66,516.15,4,0,0,0,0
 24-34,0.59,2.75,0,22.85,160.37,0,0.67,4.34,0.59,13.46,0,0,0,0,2.2,0,8.67,0,0,73.77,83.04,0.61,0,0,0,0,10.42,0,1.81,139.53,290.1,13.99,0,1.75,0,0
 36-46,0,0,0,6,342.86,0,0,4.06,0,6.58,0,0,0.61,0,0,0,7.93,1.26,0,33.08,78.87,0,0.81,0,0,0,6.44,0,1.4,170.09,13.41,6.35,0,12.08,0,0
 48-58,0,0,0,22.27,205.87,4.04,0,8.86,0,3.73,0,0,0.38,0.48,0,0,9.36,0,0,36.43,66.89,0,0,0,0,0.56,3.5,0,0,88.17,0,27.06,0,3.81,0,4.29
 60-70,0,5.19,0.57,32.5,110.74,1.34,0.87,9.54,0,0,0,0,0,0,0,4.52,14.82,0,1.58,25.5,28.34,0,0,0,0,0,5.72,0,0,59.39,0,5.91,0,6.62,0,0
 72-82,0,0,3.67,12.31,46.58,0,0,0.98,1.62,0,0.54,0,0,0,0,0,13.92,0,0,5.83,32.99,0,0,0,0,0,4.49,0,0,15.62,0,4.83,0,0,0,0
 84-94,0,1.65,0.71,13.72,75.31,0,2.91,3.64,0,1.43,0,0,3.43,0,0,0,6.63,0,0,21.02,32.11,0,0,0,0,0,0.61,0,0,41.03,0,5.64,0,0,0.68,0
 96-106,0,1.11,1.52,22.59,98.06,0,8.97,0,0,1.35,0.91,0.94,0,0.79,12.64,0,12.34,3.81,0,11.84,78.02,0.58,0.7,1.57,0,0,8.73,0,0,29.78,0,0,1.51,0,0,0
108-118,0,3.26,1.1,28.09,177.53,0,0,6.7,0,2.89,0.65,0,0,0,0.79,0,15.52,0,0,26.66,41.99,0,0,0,0,0,4.97,0,0,47.55,0,2.92,0,0.94,1.17,0
120,0,8.09,0,32.15,183.3,0,0,1.78,0,0,1.01,0,0,0,0,0,20.14,0,2.61,37.71,32.8,0,0,0,0,0,0,1.12,0,26.03,0,0,0,0,0,0
