stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,2.06,0,0,0,0,0.96,0,0,0,0,2.17,0,2.2,0,1.72,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.4,0,1.06,6.34,2.18,0,2.45,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,5.07,0,0.62,0,1.43,0,0,14.95,0.83,0,0,0.71,0
 48-58,0,0.91,0,0.82,0.57,0,0,0,0,0,11.88,0,1.96,1.68,0.63,0,6.14,0,2.27,0,0,0.61,0
 60-70,0,0.85,0,0,1.92,0,0,0,0,0,97.84,1.83,6.61,2.61,0.57,0,1.45,1.88,0,0,1.2,0,2.32
 72-82,7.5,15.52,0,0,11.64,0,0,0,0,0,258.41,27.03,14.3,3.9,0,7.44,12.78,0,3.58,0,25.09,0,21.53
 84-94,0.96,19.98,2.53,5.5,3.31,0,0,0,0,0,274.28,21.88,1.92,3.79,0.67,23.47,26.24,2.72,0.68,1.5,34.4,0,48.95
 96-106,6.7,18.63,0,1.42,5.79,0,0,0,1.44,0.77,407.22,99.66,37.84,48.72,1.02,3.26,10.2,1.27,0,0,54.24,0,102.62
108-118,4.99,39.65,1.52,0.75,28.87,0,0.52,0.95,0,0,471.27,120.24,12.64,28.26,1.44,55.1,6.03,4.98,0,0.48,44.97,0,72.34
120,1.81,14.9,0,0,0,0,0,3.6,0,0,537.68,99.9,0,4.24,2,30.26,2.84,1.22,0,5.98,9.18,4.04,270.16
