stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,3.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.61,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.09,4.68,0.87,0,1.92,0,0,0,0,0,5.28,0,0,0,0,0,0,1.73,0,0,9.81,31.55,0,0,0,0,0,8.23,1.15,0,215,170.13,11.57,0,0,0.84,0,0
 24-34,0,0,0,4.92,0,0,15.67,451.51,1,0,8.09,0,22,0,2.69,0,0,0,0,15.01,4.95,0,111.79,227.8,2.88,0,0.62,0,0,17.45,4.63,0,273.47,234.13,50.6,0,0,12.97,0,0
 36-46,0,0,0,7.61,0,0,35.95,1526.82,0,1.17,13.09,1.22,1.05,0,0,0,0,0,8.54,10.58,1.16,0,185.45,228.7,1.09,0.8,0,21.27,0,15.91,0,2.78,417.36,11.81,74.64,0,0,4.45,0,6.18
 48-58,0,0,0,27.76,0.78,0,116.49,1273.96,0.8,0,36.21,1.15,0.82,4.27,5.42,4,0,2.56,0.4,85.13,6.86,0.43,125.5,476.12,14.28,0,0,0,0,20.47,0,0,349.02,0,65.25,0,0,1.93,0,32.84
 60-70,0,0,0,37.1,7.08,0,173.03,920.33,2.9,0.59,13.51,6.62,0,10.51,0.56,4.51,1.13,0,0.93,76.28,0.9,2,102.51,333.81,9.27,2.47,0,5.14,1.19,38.88,0,0,209.92,0,57.7,0,0.73,0.9,0,22
 72-82,0,0,0,6.39,5.83,0.76,153.32,365.54,3.73,3.85,28.49,4.49,0,0,1.02,4.57,1.17,4.33,0.94,49.25,0,5.66,27.94,274.82,0,1.85,8.81,0,1.08,13.52,0,1.14,98.45,0,26.88,0,1.04,9.18,0.77,17.44
 84-94,0,0,0,16.12,22.04,0,152.26,496.83,0.66,8.89,19.84,3.58,0,8.98,0.72,1.39,6.17,3.97,8.83,71.65,0,5.04,65.7,222.04,9.24,4.45,4.39,0,0,24.12,0,1.37,132.02,0,13.75,0.72,1.03,10.37,1.11,18.09
 96-106,0,1.04,0,12.42,24.57,0.61,176.48,393.6,0,0,25.56,5.49,0.78,2.3,0.86,4.82,9.32,4.37,0,52.96,5.97,13.31,27.75,166.75,0,10.73,0.93,0,3,19.64,0,0,130.44,0,9.3,0,2.45,0,6.06,3.54
108-118,0,0,0,5.03,14.8,3.55,93.64,293.89,10.94,4.07,23.71,1.83,0,2.49,2.41,5.79,7.55,0,0,50.44,0,6.69,70.12,133.4,0,3.46,1.58,0,0,10.22,0,0.43,132.81,0,5.09,0,1.42,0,1.28,14.02
120,0,0,0,7.23,5.15,0,62.27,168.15,0,8.73,23.36,0,2.11,5.39,1.36,6.03,4.79,6.71,0,46.63,0,18.76,40.04,145.62,2.43,0,20.19,0,0,1.87,0,0,31.38,0,6.92,0,0,5.18,3.73,0
