stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,vasculature,xanthophores
  3-4,65.75,2196.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.62,0,0,0,0,0,0
  5-6,45.71,1548.21,0,0,0,0,0,0,27.71,0,0,0,0,0,0,65.56,8.7,0,0,10.29,0,0,0,0,0,0
  7-9,4.87,9.32,24.61,0,0,59.27,0,0,9.24,0,0,0,0,0,0,371.07,14.67,0,100.43,0,5.5,0,0,0,0,0
 10-12,0,4.2,24.56,0,9.23,43.72,0,0,13.54,0,0,0,0,0,0,223.13,21.48,0,37.94,0,0,0,27.85,0,0,0
 14-21,0,0,0,0,0,0.87,0,0,0,0,0,0,7.12,0,0,21.75,0,0,0.9,0,0,1.9,0,5.54,0,0
 24-34,0,0,2.43,0.98,0,4.74,0,0,0,0,0,0,9.17,0,2.7,75.73,0,0,0,0,0,0,0,14.09,2.24,0
 36-46,0,0,0,0,0,14.74,0.78,4.12,0,0,0,0,9.26,0,4.91,53.3,0,0,0,2.17,0,0,0,12.33,0,1.13
 48-58,0,0,0,0,0,8.21,0,5.01,0,0,0,0,4.76,0,0,28.76,0,0,0,0,0,0,0,2.14,0,0
 60-70,0,0,0,0,0,6.31,0,1.77,0,0,0,0.66,8.04,0,0,28.09,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,5.77,0,2.71,0,0,0,0,4.64,1.12,1.18,25.58,0,1.64,0,1.02,0,0,0,4.42,0,3.5
 84-94,0,0,0,0,0,4.06,0,0,0,0,0,0,5.52,0,0.82,9.91,0,0,0,4.94,0,0,0,0.98,0,0
 96-106,0,0,0,0,0,0,0.84,0,0,0,0.95,0,0.85,0,1.38,18.25,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,4.81,0,0,0,0,4.53,0,1.22,14.88,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.63,0,8.15,0,0,0,3,0,0,1.25,0,0,5.57,0,0,0,0,0,0,0,0,0,0
