stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  5-6,28.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.26,0,0,0,0,0,0,0,0,0,0,0,4.38,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.17,0,0,0,8.86,0,0,0,0,0,0,0
 14-21,0,0,2.74,0,0.91,0,0,0,8.96,0,0,0,4.85,0,0,0,1.84,0,0,0,0,1.03,0.9,16.04,0.86,29.08,0,0
 24-34,0,0,0.74,0,0,0,0,0.79,0.63,0,0,0,0.97,0,0,0,18.6,0.7,0.78,0,0,0,0,1.9,0,8.29,4.53,0
 36-46,0,0,2.09,0,0.69,0,0,0,7.36,0,0.68,0,3.01,0,0,0.68,9.57,0,7.99,0,0,0.68,0,0,0,16.42,0,0
 48-58,0,0,0,0,8.64,0,0,0,5.9,0,0,6.13,5.29,0,0,0,16.87,0,4.54,0.69,0,0.8,0,0.4,0,9.85,1.86,0
 60-70,0,0,0,0,3.79,0,0.63,0,0.78,2.01,1.98,0,4.71,0,0,0,15.62,0,4.73,0,0,0,0,0,0,6.63,0,0
 72-82,0,0,0,0,0,0,0,0,2.51,0,0,0,0,0,0,0,31.37,0,1.72,0,0,0.87,0,0,0,4.44,0,0
 84-94,0,0.94,0,0,7.79,0,0,0,3.46,0.69,0,0,2.45,0,0.58,0.93,8.39,0,2.61,0,0,0,0,0,0,1.26,0,0
 96-106,0,0,4.33,9.31,0,0,0,0,13.37,0,1.52,0,10.92,1.41,1.32,0,9.57,0,11.93,0,0,4.93,0,0,0,6.05,1.3,0
108-118,0,0,1.94,0,1.16,0.64,0,0,11.18,0,1.15,0,7.35,0,1.01,0,21.45,0,3.02,0,0,1.04,0,0,0,2.63,0,2.03
120,0,0,9.58,0,10.05,0,0,0,7.13,0,0,0,0,0,0,0,18.16,0,18.88,16.05,0,0,0,0,0,0,0,0
