stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,24.61,426.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.86,0,0,0,0,0,0,0,0,0
  5-6,0,234.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.93,0,6.83,0,0,24.35,0,0,0,0,0,4.51,0,0,0,0,0,0,0,0,0,302.09,0,0,0,56.86,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,14.53,0,6.79,0,4.44,51.08,0,0,0,0,0,3.97,0,0,0,0,0,0,0,0,0,637.8,16.3,0,0,121.99,0,0,4.94,0,0,0,0,4.33,0,0,0
 14-21,0,0,0,0,11.16,13.74,5.08,0,0.95,0,10.29,0,0,0,0,0,0,0,2.91,0,0,2.6,160.34,2.94,0,0,3.92,0,2.96,0,4.55,1.37,0,8.48,54.11,0,0,1.62
 24-34,0,0,0,0,5.84,0,12.71,0,2.5,0.83,6.07,0,0,0,0.73,0,1.57,0,18.1,0.66,0,3.78,384.21,0.83,5.1,2.48,0,0,10.48,0,0.93,0,0,1.05,75.2,0,0,10.05
 36-46,0,0,0,0,0.55,0.73,81.55,0,1.54,0,8.65,0,0,0,0,0.56,0,0,23.93,0,0,4.06,686.07,0,3.91,1.57,0,0,10.26,0,0,2.01,1.69,0,144,0,0,10.32
 48-58,0,0,0.44,0,2.97,0.68,116.47,0,0,0.42,13.06,0.38,0,0.55,3.44,0,0,1.22,24.14,0,0,3.35,458.82,3.05,1.57,0.38,0,0,15.13,0,0,1.25,0,0,104.38,0,0,5.27
 60-70,0,0,0,0,1.21,0,173.96,0,2.35,0,16.2,0,0,0,0.58,0,0,0,36.55,0,0.69,0.67,304.28,0,1.67,1.82,0,0,10.49,0,0,2.47,0,0,42.56,0,0,1.83
 72-82,0,0,1.04,0,3.77,2.06,154,0,0,2.6,19.29,2.22,0,0,1.9,0.53,0.99,0,18.17,0,2.66,4.87,230.88,0,0,2.26,0,0,2.79,0,0,0.66,0,0,29.47,0,2.14,1.96
 84-94,0,0,0,0,2.83,0,129.91,0,0.57,2.78,27.31,0.71,0,0,2.52,0,3.01,0,35.9,0,0.76,0,193.24,0,0.97,1.58,0,0,7.86,0,0,0,0,0,19.29,0.78,0.88,4.32
 96-106,0,0,0.99,0,10.31,0,74.59,0,0,0,17.39,0.61,0,0.71,2.73,0.7,1.4,0,26.56,0,0.94,2.87,130.77,0,2.35,2.4,0,0,11.59,0,0,0,0,0,16.9,0,0,1.7
108-118,0,0,0,0,4.83,2.2,65.71,0,1.1,0,17.8,0.54,0,0,2.29,0.99,0,0,24.59,3.17,2.74,1.8,217.11,0.6,2.88,0.77,0,4.75,15.44,0,0,0.47,0,0,10.51,0,0,1.73
120,0,0,0,0,18.13,3.69,45.68,1.04,0,0,26.9,2.51,0,0,0,2.76,0,0,14.18,0,0,7.75,191.84,0,0,3.06,0,0,4.39,0,0,0,0,0,0,0,0,1.48
