stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,6.97,9.51,0,0,0,0,0,0,0,0,0,0,0,0,0,19.39,0,0,0,0.91,0,0,0,0,0.87,0,0,0,0,0,0,0
 24-34,0,17.08,26.98,0,0,1.88,0,0.7,0,0,8.7,0,5.09,0,0,0,66.33,4.91,0,0,2.33,0,0,0,0,3.74,0.87,0.85,0,0,0,0,0
 36-46,0,1.38,40.42,0,0,0,0,14.94,0,0,5.07,0.72,10.42,0,0,0,71.56,0,0,0,4.68,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,54.44,0,0,3.69,0,4.71,0,0,6.17,0,21.42,0,0,0,57.16,1.33,0,0,11.11,0,0.38,0,2.69,0.48,0,1.72,0,0,0,0,0
 60-70,0,0,116.38,0,0,0.6,0,8.83,0,1.14,7.3,0,16.36,0,0,0,100.41,2.83,0,0,20.02,0,0,0,0,1.06,0,0.86,0,0,0,0,6.96
 72-82,0.5,0,59.02,2.4,0.57,27.58,0.91,1.32,1.61,4.68,2.56,0,29.57,0,0,1.9,287.35,2.65,2.74,0.54,30.72,0,0,0.5,0.51,2,0,4.84,0,0,4.34,0.77,0
 84-94,0.73,0,107.71,7.1,9.58,5.7,0,6.56,0,2.61,8.38,0,28.62,0,4.69,0,942.84,5.87,2.86,0,42.02,1.16,0,0,0.79,3.28,0,0,0,0,0,0,0
 96-106,0.63,0,50.79,26.75,6.8,50.13,6.3,2.57,0,12.88,2.12,2.51,32.99,1.14,0,0,1464.88,14.05,3.17,0,191.28,0,1.92,2.2,4.47,0,0,6.34,1.97,0,2.57,2.93,1.69
108-118,0,0.49,47.24,13.97,16.58,40.98,1.47,2.67,0,24.39,6.7,2.89,19.6,0,0,0.67,3186.87,25.57,0,1.66,134.49,1.52,0.95,2.24,2.15,0.66,0,2.12,0,1.11,5.3,0,5.25
120,0,0,43.25,1.62,2.74,20.58,0,2.16,0,25.32,1.14,0,22.93,0,0,0,1734.67,39.02,0,0,173.2,0,0,0,7.5,0,0,0,2.83,0,0,0,0
