stage,blastomeres,epidermis,eye,glial,heart,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,76.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,4.72,0,3.94,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,9.14,4.36,0,0,0,0,0,0
 14-21,0,2.97,0,0,0,4.71,0,4.32,1.65,0,0,5.21,0,6.08,0,0
 24-34,0,0.6,0,0,1.24,2.3,0,3,9.97,0,0,0,0,1.98,2.5,4.1
 36-46,0,5.07,1.23,0,1.33,5.87,0,1.25,44.81,0,0,0,0,0,16.56,0
 48-58,0,0,0.56,11.11,0,1.05,2.14,1.32,50.16,0,0,0,0,0,11.16,0
 60-70,0,0,15.62,1.98,0,11,0,3.03,69.56,0,0,0,1.24,0,18.24,3.88
 72-82,0,0,22.03,2.57,0,6.34,0,1.23,94.7,0,0,0,0,0,10.48,1.47
 84-94,0,0,2.92,1.29,0,7.64,0,0,33.71,0,0,0,1.07,0,5.18,0.6
 96-106,0,0,2.3,0,0,15.88,1.76,1.43,58.61,0,0,0,0,0,6.18,0
108-118,0,3.58,18.14,0,0,18.79,0,0,45.96,0,0,0,0,0,5.08,1.48
120,0,3.92,0,0,0,0,4.29,4.51,77.45,0,0,0,0,0,0,0
