stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.84,1488.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.11,547.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.39,0,0,0,7.11,0,9.1,0,0,0,0,0,0,0,0,0,0
  7-9,4.23,0,0,0,0,0,6.74,0,0,0,0,0,4.93,0,0,0,0,0,0,0,0,0,0,0,80.77,5.08,0,0,11.01,0,0,7.7,0,0,0,0,0,0,0,0,0
 10-12,0,8.11,0,32.31,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.41,8.6,0,0,11.73,0,0,0,0,11.28,5.73,5.88,0,0,0,0,0
 14-21,0,0,0,8.04,41.39,9.63,10.14,0,0,0,1.87,2,0,0,0,0.84,0,0,0,0,22,0,0,8.26,108.34,0,0,0,1.62,0,3.91,0,3.24,0.98,8.8,24.97,0,0,0,0,0
 24-34,0,0,0,2.8,6.79,1.67,3.09,0,0,0.74,1.51,4.13,0,4.31,0,0.8,0,0,0.84,0,13.08,0,0,6.73,86.04,0.65,0,0,0,0,1.27,0,0,0,2,17.69,0,0,0,0,5.47
 36-46,0,0,0,0,3.44,0,12,0,0.86,2.17,5.75,0.82,0,4.2,0,0,3.69,0,0.59,0,21.72,0,0.78,7.68,57.22,0,0,0,0,0,0,0,0,0,0,11.08,0,0,0,0,0
 48-58,0,0,0,0,9.39,0,6.71,0,70.33,4.74,14.43,1.54,0,4.49,0,0,0,0.62,0.87,0,14.44,0,0,0.95,28.48,0,0,0,0,0,0,0,0,0,0,7.63,0,0,9.11,0,0
 60-70,0,0,0,0,38.63,4.98,6.86,0,43.6,5.22,26.85,6.05,0,1.9,1.83,3.56,0,0.71,0,0,59.72,0,10.61,4.25,45.29,0,2.08,0,0,0,0,0,0,0,0,1.27,0,1.4,1.64,0.71,0
 72-82,0,0,0.94,0,84.19,1.07,17.82,0.79,264.66,1.91,22.63,27.99,0,5.63,4.25,0,0,0,2.18,0.64,56.56,0,8.91,0.57,29.3,0,0,0,0,3.06,0,0,0,0,0,3.79,0.58,3.4,40.39,2.14,0
 84-94,0,0,3.99,0,511.86,3.46,19.56,0,494.15,1.33,20.57,26.07,0,2.3,2.84,0,1.33,0,0,0,29.46,3.32,14.15,2.88,17.27,0,0,0,0,2.35,4.18,0,0,1.79,0,5.3,1.62,2.29,13.87,5.42,0
 96-106,0,0,1.94,0,926.94,27.59,40.04,0,693.22,8.16,25.9,91.96,0,8.5,18.03,3.19,2.05,6.36,0,1.55,49.41,13.08,28.79,2.44,38.76,0,0.57,2.04,0,6.02,41.83,7.21,0,0.82,0,4.91,6.51,3.94,42.86,14.75,0
108-118,0,0,0.72,0.74,1493.21,6.8,33.96,0,1445.7,5.97,12.7,100.71,0,5.04,4.95,0,3.28,0.6,8.51,0,29.8,12.86,20.1,5.06,29.73,0,0.54,0,0,2.8,24.05,1.11,0,0.88,0,4.15,2.68,0,52.74,11.88,0
120,0,0,0,0,461.51,17.7,23.71,0,317.72,5.27,9.11,72.33,0,0,4.13,2.02,2.6,1.12,0,0,13.13,3.49,15.7,1.81,28.43,0,0,0,0,2.54,1.69,0,0,0,0,0,10.72,8,63.27,9.57,8.45
