stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,35.39,103.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.6,0,0,0,0,0,0,0,0,0
  5-6,0,236.72,10.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,7.03,0,0,8.65,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.63,0,4.89,0,0,3.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.82,0,0,0,10.5,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.25,406.92,0,0,6.85,0,0,0,8.76,0,5.88,0,0,0,0,0
 14-21,0,0,1.29,436.88,21.76,37.79,0,0,0,24.82,0,9.31,1.11,0,0,0,0.93,0,13.61,0.82,0,2.06,613.27,8949.62,0,0,48.72,0,1.54,22.67,4.97,6.44,6.36,602.15,0,0,0,0
 24-34,2.64,0,0.71,885.74,2.76,72.09,0,6.96,0.95,82.22,0,0,0.79,0.6,2.83,0.83,12.83,0.99,62.52,2.69,0,6.12,2544.72,1977.09,3.05,0.61,0,2.91,6.23,0,1.54,0,3.65,1155.01,0,4.28,0,3.17
 36-46,0,0,0,553,0,35.47,0,3.19,0,139.94,0,0,2.66,0.57,0,0,6.98,0,59.85,2.65,1.48,0.6,1507.81,322.63,4.31,1.55,0,3.07,2.92,0,1.85,0,0,1139.18,0,4.99,0,1.11
 48-58,0,0,0,133.76,0,31.64,1.02,0.87,0.86,157.5,0.71,0,2.16,0,0,0,0.85,0,35.95,2.55,5.01,3.08,408.73,44.97,0.41,0.43,0,1.53,0,0,1.19,0,0,717.7,0.42,0.65,0,0
 60-70,0,0,0,40.07,3.85,45.52,0,0,0.87,88,2.44,0,0,0,2.04,0,0,0,40.41,0.57,2.93,3.95,158.07,8.42,1.24,0,0,12.91,3.05,0,0.97,2.41,0,183.48,0,8.15,0,2.2
 72-82,0,0,0,14.93,5.51,47.16,0.98,0,3.01,61.88,0,0,1.08,1.74,0,0,0,0,57.48,0,3.99,3.46,130.73,0,2.49,0.49,0,1.08,0,0,0,0,0,39.31,0,4.21,1.53,0
 84-94,0,0,0,43.14,5.87,55.81,0,0,0,69.56,1.47,0,0,2.59,0.62,0.62,0,0,55.97,0,6.88,1.04,115.54,1.27,0.61,2.96,0,10.58,0,0,6.28,0,0,69.48,1.47,5.54,4.84,0
 96-106,0,0,0,20.92,4.43,32.23,0,0.93,0,37.31,0,0,0,2.9,3.45,0,0,0,68.39,1.26,1.85,3.73,63.21,0,2.63,0,0,16.41,0,0,5.05,0,0,29.57,4.88,4.59,1.71,0
108-118,0,0,0,35.11,8.4,38.96,1.79,0,0,42.17,0.48,0,0,0.92,6.78,0,0.76,0,103.67,0,1.75,11.42,92.03,0.55,4.32,0.91,0,13.28,0,0,2.33,0,0,14.74,4.23,5.28,2.84,1.85
120,0,0,0,55.66,17.06,40.56,0,0,0,37.64,0,0,0,0,8.06,0,0,0,164.69,1.63,0,0,95.81,4.9,0,0,0,34.1,1.11,0,0,0,0,22.87,0,24.41,0,0
