stage,blastomeres,epidermis,eye,glial,lateral.line,melanocytes,mesenchyme,mural.cell,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,visceral.smooth.muscle
  5-6,10.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,9.62,0,5.09,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,18.02,0,0,0,0,8.5,0,0
 14-21,0,0,0,0,0,0,0,0,1.32,0.83,0,1.2,1.37,0.89,0,0
 24-34,0,1.11,0,0.75,0,0,4.67,0,27.34,0,0,0,0,0,0,0
 36-46,0,0,2.16,0,0,1.37,4.08,0,12.64,0,0,0,0,0,2.64,0
 48-58,0,0,1.62,0.57,0,0,0.83,0,12.91,0,0,0,0,0,0,0
 60-70,0,0,4.61,1.12,0,0,0.99,0,14.03,0,0,0,0,0,2.4,0
 72-82,0,0,1.32,5.91,0,0,2.95,1.27,1.78,0,0,0,0,0,0,0
 84-94,0,0,4.1,0,0.69,0,13.64,0,10.23,0,0,0,0,0,0,0
 96-106,0,0,0,1.58,0,0,23.88,0,2.11,0,0,0,0,0,0,0.89
108-118,0,0,11.55,1.15,0,0,17.94,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,14.89,0,3.61,0,0,0,0,0,0,0
