stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.99,0,0,0,3.76,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,5.19,6.91,0,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,75.03,0,0,0,1.02,0,0,0,1.01,0,0,3.81,111.31,0,0,0,0,0
 24-34,3.81,11.12,0,0,2.46,0,0.6,0.8,0,0,0,0,0,1.43,0,0,0.68,4.8,9.68,2.8,0,4.59,663.6,0.62,14.8,3.36,0,0,3.91,0,0,1.43,0,0,177.08,0,0,0,0,0
 36-46,0.73,19.99,0,0,51.8,0,0,0,7.11,0,1.26,0,0,4.12,0,0,0,35.75,2.1,3.99,0,2.1,1501.2,0,28.46,0,0,0,11.77,0,0,0,0,0,272.93,0,0,10,0,0.66
 48-58,0.85,31.74,0,0,281.18,0,0,0,23.39,0,15.06,0,0,1.07,0,0,0,45.4,12.37,18.87,0,1.56,2212.58,14.7,15.76,0,0,0,4.61,0,0,0,0,0,322.47,0,0,3.76,0,10.49
 60-70,1.22,16.56,0.78,0,838.92,0,1.06,1.04,40,1.8,9.05,0,2.33,0,1.14,0,0,32.88,14.18,10.69,0,1.95,2690.2,2.09,9.99,4.4,0,0,0.9,0,0,2.06,5.71,0,274.62,0,0,9.11,0,4.26
 72-82,12.63,12.68,5.21,0,2205.91,7.1,0,2.95,64.47,24.19,8.05,0,1.75,0,12.8,0,0,13.68,34.47,29.35,0,1.83,2304.11,0,22.92,0.78,0,1.12,2.87,0,0,4.91,0,0,182.55,2.03,0,2.23,0,9.24
 84-94,23.3,10.02,10.56,0,1351.61,0.84,0,0,103.3,41.18,6.47,0,1.86,4.37,1.4,0,2.58,30.59,39.2,54.03,1.3,4.18,1491.2,0,0.95,1.46,0,0,6.97,0,0,2.42,0,0,75.97,8.34,1.64,5.13,5.02,2.44
 96-106,25.01,12.44,11.13,1.05,1980.32,0,0.66,0,45.51,52.67,0,1.61,1.19,2.23,6.35,6.45,0.65,17.43,32.65,67.37,4.03,4.06,1188.89,0,9.39,1.1,0,0,7.18,1.35,0,1.53,0,0,39.13,11.65,2.52,5.13,2.88,17.67
108-118,22.71,40.81,6.71,0,1574.02,0,0,1.03,42.19,118.09,0,0,3.12,2.61,0,1.15,3.52,37.89,44.25,52.06,0.65,3.54,1458.9,0.52,6.34,2.04,0,0,3.92,0,0,0.54,0,0,53.95,10.78,1.82,1.59,0.79,0
120,6.81,65.8,1.38,0,1238.76,1.99,1.12,0,87.64,75.12,0,0,0,0,0,0,19.47,18.17,34.57,31.47,5.31,0,2626.18,2.33,25.37,0,0,0,5.78,0,0,1.58,0,0,51.4,1.37,0,14.83,0,0
