stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,23.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.41,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.23,6.71,0,0,0,0,0,2.34,0,0,0,0,0,0,0,6.42,0,0,0.96,56.72,0,0,0,0.84,0,0,6.05,0.89,0.81,17.6,21.23,0,0.92,0
 24-34,0,0,0.59,2.05,0,3.39,0,0,0,6.46,0.66,0,0,0,0,0,0,4.36,0.7,0,6.09,152.34,0,0.65,0.77,0,0,0,2.33,0,0,6.3,55.49,0,1.98,0.69
 36-46,0,0,0,0.58,0,10.35,0.67,0,0.74,22.68,0,0,0,0,0.56,0,0.91,10.7,0,0,3.5,316.45,0,2.09,0.8,0,0,0,0,0,0.64,0,68.36,0,1.66,0
 48-58,0,0,0,0,0,29.62,0.37,0,0,23.16,0,0,0.38,0,0,0,0,9.82,0,0,4.77,445.08,0,1.25,0.87,0,0,0,0,0,4.64,0,84.02,0,1.27,5.31
 60-70,0,0.57,0,0,0,144.49,0.58,0,1.83,28.2,0,0,0,0,0,0.7,0,8.15,0,0,2.68,551.46,0,0,3.48,0,0,0,0,0,0,0,99.86,0.77,0,0
 72-82,0,1.02,0,3.03,7.66,149.6,0,0,4.11,25.7,0,2.12,0,0,0,0,0,22.95,0.59,0,4.3,461.69,0,0.79,3.41,0,0,0,0,0,0,0,41.14,0,2.21,3.28
 84-94,0,0,0,1.63,0,174.15,0.7,1.69,1.12,17.97,0,0,1.52,0,0,0,0,9.66,1.82,0,1.6,303.24,0,0,1.76,0,0,0.58,0,0,0,0,36.18,0.57,17.25,0
 96-106,0,0,0,1.98,0,126.18,3.09,0,2.67,11.34,0.94,0,1.29,0,0,2.39,0,14.24,0,0,2.65,229.35,0,0.95,3.03,0,3.96,0,0,0,1.9,0,5.93,0.61,3.58,0
108-118,0,0,0,3.32,1.38,147.06,1.15,0,2.07,21.71,2.17,2.42,0.67,0.7,0,0.41,0.58,15.78,0,4.77,0,241.77,0,0,1.79,0,0,0,0,0,0,0,11.59,1.61,0,5.43
120,0,0,0,0,0,217.48,7.8,0,0,39.26,0,0,2.36,0,0,1.77,0,2.42,0,2.13,1.68,336.93,2.28,0,1.05,0,0,0,0,0,0,0,9.05,0,0,0
