stage,epidermis,eye,glial,immune,neural,periderm,spinal.cord
 14-21,0,0,0,0,0,0,0.97
 36-46,0,0,0,0,0,0,1.62
 48-58,0,0,0,0.48,0,0,0
 72-82,2.3,7.36,0.49,0.99,0,0,0
 84-94,0,6.74,0,1.74,0,0,0
 96-106,0,0,0,0.7,2,3.29,0
108-118,1.24,0,0,2.32,0,0,0
120,0,0,0,0,3.27,0,0
