stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,240.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,78.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.37,7.66,0,0,0,0,0,0,0,0
  7-9,6.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.56,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7,0,0,5.93,0,0,5.54,0,0,0,0,0,0
 14-21,0,0,0.93,2.86,0,1.19,0,0,0,0,0,0,2.2,0,0,0,1.85,0.81,20.07,0,0,1.75,0,3.55,0.81,2.57,14.34,0,0,0,0
 24-34,0,0,0,1.28,0,8.31,0,0,0,0,0,0,0.7,0,0,0,0,0,10.84,0,0.6,0,1.97,0,0,0,1.09,0,0,0,0
 36-46,0,0,0,0,0,6.1,0,0,0,0,0,0,0,0,0,0,2.14,0.78,15.56,2.39,0,0,1.48,0,0,0,1.67,0,0,0,2.66
 48-58,0,0,0,0,0,190.36,0,0,4.51,0,0,0,0.61,0,1.31,0,0,2.23,13.41,0,0,0,0,0,0,0,2.21,0,0.74,0,2.33
 60-70,0,0,0,0,0,1211.59,0,0,7.67,0,0,0,0.58,0,0,0,3.38,0,31.23,1.08,0,0,9.17,0,0,0,1.16,0,0,0,0
 72-82,0,0,0,0.53,0,1327.24,0,4.56,14.53,0,0,2.53,0,0,0,4.38,1.56,1.5,47.53,0.91,0,0,0,0,0,0,0,0,0.52,2.19,0
 84-94,0,0,0,4.1,0,1034.73,0.57,0,26,0,0,0,5.2,0,0,0,23.33,3.88,42.17,1.95,0,0,0,0,0,0,0,0.64,0,0,0
 96-106,0,0,0,3,1.05,1130.2,0.62,0,21.23,0,1.91,0,0,0.81,0,0,4.57,0,41.88,0.75,0,0,2.4,0,0,0,0,0,0,0,0
108-118,0,0,0,8.98,0,662.44,0,0,5.28,0.65,0,5.72,0.92,0,0.79,0.59,9.53,2.06,52.17,0,0,0,0,0,1.48,0,0,0,0,0,0
120,0,0,0,2.45,0,326.17,0,0,11.42,0,2.63,0,1.77,0,0,0,13.17,0,125.44,0,0,0,0,0,0,0,0,0,0,0,0
