stage,axial,blastomeres,epidermis,erythrocytes,eye,immune,mesenchyme,mucous,neural,olfactory,periderm,spinal.cord,vasculature
  3-4,0,51.3,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.15,35.28,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,3.31,0,0
 10-12,0,0,0,0,0,0,0,0,4.83,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.61,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.98,0
 48-58,0,0,0,0,0,0,0,1.11,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,2.28,0,0,0,0,1.05
 72-82,0,0,0,0,3.5,0,0,1.33,0,0,0,0,0
 84-94,0,0,0,0,0,1.71,0,0,0,0,0,0,0
 96-106,0,0,0,0.67,0,0,0.63,0,0,0.59,0.73,0,0
108-118,0,0,0.45,0,2.68,2.81,0.62,0,1.61,0,0,0,0
120,0,0,0,0,0,12.6,0,0,0,0,0,0,0
