stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.52,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.01,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,13.27,0,0,0,0,0,25.77,0,0,0,0
 24-34,0,0,0,0,5.46,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0,206.4,0,0,0,0,0,59.14,0,0,0,0
 36-46,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587.07,0,3.23,0,0,0,81.72,0,0,0,0
 48-58,0,0.93,0,0,31.68,0,0,0,5.02,0,0,0,4.58,0,0.48,0,0,12.86,0,0,0,957.03,0.55,2.02,0,0,0.51,90.7,0,0,0,3.66
 60-70,0,4.79,0.58,0,426.36,0,0,0,10.21,0,1.85,0,0,0,0,2.97,0,6.16,1.01,0,0,1931.34,0,3.29,0,0,0.6,200.87,0,5.49,0,0
 72-82,0.5,8.53,0,0,1498.3,0.5,0,1.25,45.93,1.12,0,0,0,0,0,3.06,0,26.48,0.61,15.33,2.75,2405.33,0,9,1.36,0,1.17,183.37,0,2.33,1.08,8.41
 84-94,0,13.51,2.55,0,960.82,0.56,0,0,37.45,1.62,0.78,4.46,0,0,0.69,0,13.33,10.56,0,0,0,1549.24,0,2.14,0,0,3.52,121.41,0,5.81,0,9.76
 96-106,0,7.26,6.88,0,1157.22,0,10.23,0,24.22,0,0,1.28,0,0,0,0,0,14.26,0,1.06,1.59,1412.78,0.75,13.2,0,2.96,0,69.21,1.13,0,0,0.68
108-118,0,9.31,0,5.7,1104.03,0,0,0,33.86,0,0,0,0,0.51,0,0.89,0,15,1.41,0,0.54,2261.56,0,5.09,0,0,0.44,65.45,0.68,1.07,6.14,0
120,0,12.42,6.44,0,768,0,0,0,26.23,1.38,0,8.2,0,0,0,0,0,21.55,0,15.43,10.55,3385.12,0,6.32,0,0,0,96.19,0,0,0,0
