stage,endocrine_pancreas,epidermis,eye,glial,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,somites,spinal_cord,vasculature
 14-21,0,0,0,3.03,0,1.12,0,16.58,1.17,0,0,0.81,3.84,0
 24-34,0,0.71,0,1.65,0,1.07,0.96,5.08,0,1.32,0,0,3.15,0
 36-46,0,0,3.05,0,0,1.48,0,4.54,0,5.63,0,0,0,1.67
 48-58,0,0,6.83,4.69,0,0.51,0,1.34,0,0,0,0,0.78,2.1
 60-70,0,0,5.04,0,0,0,0,0,0,0,0,0,0,0
 72-82,0.83,0,0,2.2,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0.71,0,0,0,0,0,0
 96-106,0,0,0,5.2,0,0,0,3.59,0,0,1.52,0,0,0
108-118,0,1.84,0.72,0,0.64,1.53,0,2,0,0,1.78,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,7.07,0
